#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7743.088315255858    All      0.7977372299229477         -0.029004438469470983     2.156091852328419         -0.17308048359069228     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5309.674748443678    All      -0.17409719386107597       0.3656264321937108        -3.437917580488524        0.022387269553048525     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6454.25158602397     All      1.0655962671576518         -0.145188934771312        -0.661324206871818        -0.42390443591869803     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4324.628436371149    All      -0.7051630602063153        0.7944962681221135        1.871473988365806         0.5720036692946399       
Check         All|All|All                                      All                  All      0.9840732430132082         0.9859293270750413        -0.07167594666611699      -0.002593980661701911    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7743.088315255858    All      -3.187599765228851e-05     3.7691816648527104e-06    -4.185382553002785e-05    9.743063589422608e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5309.674748443678    All      -0.00016832167815872699    7.656600272605191e-05     -0.0017846721226541505    1.26254098097796e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6454.25158602397     All      -0.0003290776487292014     2.3594290428788496e-05    -0.0003367496179412693    9.984926433225927e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4324.628436371149    All      -0.00019701592874256916    0.0001354319491513866     -0.0001255642003068115    0.0001026858574761963    
MWEBV         All|All|All                                      All                  All      -0.7343586670114508        -3.9969309315979196       0.4851770338837032        -1.0410758993304239      
Redshift      All|All|All                                      All                  All      3.455792594602759          0.1116585260986902        1.080119791070445         -1.0410936993900384      
