#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6144.648645137702     All      0.7836505575999636         -0.026174055858696477      0.2326322363568297         -0.2534052107745194       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5362.840680987314     All      0.17470941421604472        0.05084386320497458        -0.4909440821024669        -0.06225566457951404      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3551.139144446247     All      -0.2192177143550869        0.10933948629467949        0.08818028563293355        0.11095697061285939       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7540.578863230347     All      0.12049747532011475        -0.0118979439440281        0.061329146296124924       -0.04038870560963314      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4746.90686042983      All      -0.2699050939464929        0.3538023314124672         -0.016074198619074526      0.2024447101459762        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4345.367438460477     All      -0.36990044451668536       0.28738152057030675        0.19264114918833342        0.222695049682669         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5308.215980458494     All      0.35278148917108654        0.1599523162205685         -0.04391822402168391       -0.06477067415032206      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7512.773851604538     All      0.2438161442820592         -0.007019673733488219      0.3811425109917404         -0.06469683843963485      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4331.9410979711665    All      -0.20531880981291242       0.10733889000169583        -0.2866400959772999        0.08905146796928931       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6193.543001225672     All      0.38372291420686744        -0.026182701054899837      -0.11462932762705971       -0.13863512480347703      
Check         All|All|All                                All                   All      0.9948359321649586         0.9973840331135797         0.0037194001183769865      0.0009959800536934182     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6144.648645137702     All      -0.00013172582471553652    4.727325974152329e-06      -7.658072047472093e-05     4.102983452268798e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5362.840680987314     All      2.8534219063522146e-05     -9.559179181036815e-06     -0.00040895560889418547    -3.065808360360338e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3551.139144446247     All      -0.0003074588442837673     0.0001157932846216271      -0.00011738816315464518    0.0001326286483886671     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7540.578863230347     All      -3.418135722873156e-05     2.6316065313989496e-06     -2.862478705511614e-05     1.0713800629830486e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4746.90686042983      All      -0.00011744937154043128    -0.0001277144389537531     -0.001552438111038076      -7.262185297248805e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4345.367438460477     All      -0.00016703402824010273    3.421938438772115e-05      -0.0005855932791084392     3.942251901953346e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5308.215980458494     All      9.941226677017692e-05      2.9290049035878574e-05     -0.00019365935953873415    -3.148324103944786e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7512.773851604538     All      -6.535998437314538e-05     4.4764616636334525e-06     -7.809354593819088e-05     1.9263071740471235e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4331.9410979711665    All      -0.0001106540213548399     1.5630028815839666e-05     -0.0004559549631519245     2.0787693882366742e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6193.543001225672     All      -8.685253441439948e-05     -3.0574129854677398e-06    -0.00011696731854083929    2.2075113611998947e-05    
MWEBV         All|All|All                                All                   All      -1.0154076923140587        -3.9665430611503183        0.15186411778218303        -0.9545048810098048       
Redshift      All|All|All                                All                   All      5.489201254499401          1.0099971915291661         9.10943360397017           -1.0525119411160657       
