#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6144.648645137702     All      0.828807120369605          -0.03436751823553408      0.24508772093373432        -0.2702272380577256        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5362.840680987314     All      0.14155130175119487        0.03339003642413019       -0.663635480962621         -0.06484668606480254       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3551.139144446247     All      -0.25345128294730923       0.12960783695517009       0.13135318404180474        0.13063664694338978        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7540.578863230347     All      0.11668021453130908        -0.013955950895550018     0.0346317243665073         -0.041007042080992706      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4746.90686042983      All      -0.2786794654905029        0.34383511503630615       -0.1009241808591077        0.1982696963352154         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4345.367438460477     All      -0.37984963282412954       0.30467497808253086       0.3101652175562353         0.23681343508529795        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5308.215980458494     All      0.3772953227372476         0.16644962357634796       -0.03851474873315386       -0.0703981171782872        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7512.773851604538     All      0.2775440981850136         -0.0023449518714357964    0.5391244054162248         -0.06711042557473179       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4331.9410979711665    All      -0.20372619821711196       0.10310944678977307       -0.2986288575771656        0.08662002981068839        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6193.543001225672     All      0.36154185377927267        -0.030783312310500577     -0.15456625779144417       -0.13469079589811112       
Check         All|All|All                                All                   All      0.9877133318745892         0.9996153035512378        0.00409272639101399        0.004059503319940594       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6144.648645137702     All      -0.00011561533798133474    2.1225294676661345e-06    -0.00012236750979299185    3.289039694050847e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5362.840680987314     All      2.917096833439309e-05      -6.785377803342646e-06    -0.00046465829066908847    -3.244773027993513e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3551.139144446247     All      -0.0003650353613569529     0.00017360477407681222    0.00020396550426034858     0.00018455485652033648     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7540.578863230347     All      -2.9471383010734578e-05    2.9008256219612273e-06    -2.16380682759514e-05      9.579085758596243e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4746.90686042983      All      -0.00015313024526567896    -9.367513001854586e-05    -0.0017108709260156287     -5.6981824630947236e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4345.367438460477     All      -0.00018371569650827584    6.533123693875821e-05     -0.000463688004943565      6.043051360578685e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5308.215980458494     All      0.00013023734999634802     5.486915841479943e-05     -7.386369605130655e-05     -2.7846097049048072e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7512.773851604538     All      -6.824355532161072e-05     3.816430995718504e-06     -0.00010521591082470226    1.8777005385780136e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4331.9410979711665    All      -0.0001224574778515441     2.616333950297469e-05     -0.0004109711593444593     3.0070934372745234e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6193.543001225672     All      -6.740223349403485e-05     -3.977736551937299e-06    -0.00010748347151747163    1.5862951577916593e-05     
MWEBV         All|All|All                                All                   All      -1.0070765144400289        -3.972778237748553        0.1483901586828651         -0.9594046487195348        
Redshift      All|All|All                                All                   All      5.448474057328061          0.4169133612430542        8.84199895822768           -1.2443670484716007        
