#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.734620976225    All      0.07389965071595937        0.13004476035858303       -0.5581521816072013        -0.006619459035036782      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7823.969383974897    All      0.2524474345630635         -0.061065825867867574     0.1323375886315543         -0.09621596442619157       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.781299387345    All      -0.3151649737119513        0.18903622139214704       -0.10261917441759345       0.15965549453058242        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.799886237742    All      0.15168245120753523        -0.040659379834551146     0.12999815515202723        -0.056850841624188485      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.851217288484    All      0.5472588760121536         -0.07662619760138156      -0.010909803870239106      -0.20370674812500258       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5333.374349412801    All      0.2475240840386029         0.38608236908128646       0.10340467214790663        0.04974746746806084        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4327.028863598216    All      -0.7344815573026211        0.5498950993676921        0.14895245364713247        0.42501079570683076        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6327.576673684631    All      0.7733338766614893         -0.07975157676556321      0.1575666832453544         -0.2708465204633352        
Check         All|All|All                                      All                  All      0.9964998421842315         0.9969554701303451        0.0005783929289412126      0.00017422403171940548     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.734620976225    All      -1.3982365917341338e-05    5.617327865923214e-05     -0.0009316427923657474     -1.8722937451965455e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7823.969383974897    All      -1.7000794566762e-05       7.117591825505304e-06     6.825999109098208e-05      1.0902281814896368e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.781299387345    All      -0.00021660261370847871    0.00011005970918553371    -0.0002643550779902068     9.460771244604369e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.799886237742    All      -1.275487626523228e-05     4.401893490694081e-06     -8.753933163063564e-06     5.197876518757868e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.851217288484    All      -0.00011445257887127338    1.0474059597458555e-05    -0.00019121720051124263    3.215957068361293e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5333.374349412801    All      -2.8406005636693774e-05    5.0664498261894046e-05    -0.001031779962155996      -2.0287736454978385e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4327.028863598216    All      -0.00041931494761355685    0.00014469329647509785    -0.0005645124761644375     0.00015852444132056248     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6327.576673684631    All      -0.0002398157629707703     1.738993828690424e-05     -0.0004807312755448587     6.232752980717554e-05      
MWEBV         All|All|All                                      All                  All      -0.8259028372926887        -4.037992941162738        0.049852101294664705       -1.044058751137681         
Redshift      All|All|All                                      All                  All      5.570819118500772          -1.1237688069652307       6.691845295053922          -1.8820212117405917        
