#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.734620976225    All      0.09086177629194551        0.13777976351612153       -0.6459705913309188        -0.013543968660638395      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7823.969383974897    All      0.2513802465506615         -0.05862887165042352      0.12903901242575788        -0.09522175032532776       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.781299387345    All      -0.3369656046569517        0.1888498283691753        -0.1552422771117723        0.1643476355250209         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.799886237742    All      0.14382760241331505        -0.034595654910862805     0.13639756828409122        -0.05203152784014897       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.851217288484    All      0.5195219641515104         -0.06271891644926697      -0.028623051158466195      -0.1909323252799633        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5333.374349412801    All      0.30496348876957163        0.37299792615579364       0.24456805883547594        0.03307500372856098        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4327.028863598216    All      -0.7339079677430996        0.5228396366287136        0.10917547289435725        0.4142360404424561         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6327.576673684631    All      0.7572440627034946         -0.06970763897458099      0.21187025540396198        -0.2599105787256459        
Check         All|All|All                                      All                  All      0.9969255684804474         0.9968160726846698        0.001214448242486954       1.8528864313693827e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5330.734620976225    All      -4.776785467462337e-05     3.9714748830663154e-05    -0.000976611089401117      -1.5085705453637296e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7823.969383974897    All      -2.1883472372048307e-05    8.253034409517946e-06     5.200016897779432e-05      1.2136980433721199e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4341.781299387345    All      -0.00016680632299360428    7.659035432254725e-05     -0.0002642333649716433     6.749078381597277e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7773.799886237742    All      -1.4569959527664386e-05    4.945244080949641e-06     -1.2188329226448023e-05    5.812834692049072e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6479.851217288484    All      -0.00014061160341629755    1.185925815911405e-05     -0.00019675496949174222    4.088450513193581e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5333.374349412801    All      -7.989780405240217e-05     1.1367493660350868e-05    -0.0011192661559852831     -2.0219597933951386e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4327.028863598216    All      -0.0003084535031973995     5.209047060223401e-05     -0.0006161962293099975     8.994302618376672e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6327.576673684631    All      -0.0002743854479977217     1.818304377860063e-05     -0.0005069791918791075     7.267503012667251e-05      
MWEBV         All|All|All                                      All                  All      -0.8397791613734369        -4.029028211014474        0.05725225804565359        -1.0362884333188216        
Redshift      All|All|All                                      All                  All      5.753871019439195          -0.32405540775855         7.170861819094315          -1.659777966769324         
