#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          6653.2134943644705    All      1.0370541375651887         -0.024821204454106294     1.2749177311707236         -0.28899401069996933      
Zeropoint     AB|DECam|DECam_z          7796.587697903684     All      0.36789279240243683        0.002181588698491055      0.6071369342397638         -0.09203043769156291      
Zeropoint     AB|DECam|DECam_g          4120.506209933459     All      -0.7849687320617741        0.7632452494249264        0.977594740504911          0.5479297918357894        
Zeropoint     AB|DECam|DECam_r          5476.458861904545     All      0.37768298397374195        0.25892383233969696       -2.853477050998043         -0.16602133798722377      
Check         All|All|All               All                   All      0.9976611818795935         0.9995294660090082        0.006172354917355349       0.0008840054570333489     
Lambda        AB|DECam|DECam_i          6653.2134943644705    All      -0.00039157037991986645    2.2157366071435963e-05    -0.00045373428122618786    0.00011451666106296897    
Lambda        AB|DECam|DECam_z          7796.587697903684     All      -9.683713319900004e-05     -3.989276691156986e-06    -0.0002007094034422502     2.128686261767257e-05     
Lambda        AB|DECam|DECam_g          4120.506209933459     All      -0.0007730608638063263     0.0005095946692804722     -0.00047070742423619414    0.000396797594777342      
Lambda        AB|DECam|DECam_r          5476.458861904545     All      4.6661743393495856e-05     6.266254741611273e-08     -0.0010628313252744968     -6.260813433507682e-05    
MWEBV         All|All|All               All                   All      -0.5173813340825251        -3.3448842780346766       0.14102237372052848        -0.9147175500822278       
Redshift      All|All|All               All                   All      6.820821210027403          -0.6016993234227996       3.165825560813653          -2.276482876748773        
