#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|DECam|DECam_i          6653.2134943644705    All      1.0231415516568385         -0.04042231336622848      1.1370029043589414         -0.2956985234937759       
Zeropoint     AB|DECam|DECam_z          7796.587697903684     All      0.4131042288143921         0.00716734354195836       0.7545593388651906         -0.09855448073221584      
Zeropoint     AB|DECam|DECam_g          4120.506209933459     All      -0.743616814214879         0.7904132760666371        1.2055254510229567         0.5534811325966323        
Zeropoint     AB|DECam|DECam_r          5476.458861904545     All      0.305411512141102          0.2424515981834574        -3.085599685337803         -0.1582042576055126       
Check         All|All|All               All                   All      0.9980404783974536         0.9996099044258244        0.011488008909285252       0.0010238707651279988     
Lambda        AB|DECam|DECam_i          6653.2134943644705    All      -0.0003104368776109422     4.71698700847709e-05      -2.566399811529219e-05     0.00011533901627163455    
Lambda        AB|DECam|DECam_z          7796.587697903684     All      -0.00010192219189329798    -6.003168134077553e-06    -0.00023745223679218385    2.0647578931169785e-05    
Lambda        AB|DECam|DECam_g          4120.506209933459     All      -0.0008105748529477708     0.0006380253013425089     3.297065361074154e-05      0.00047332805662376266    
Lambda        AB|DECam|DECam_r          5476.458861904545     All      7.452329960031814e-06      -8.047017681814168e-06    -0.0015847335415563194     -7.576802698210481e-05    
MWEBV         All|All|All               All                   All      -0.510191293820482         -3.346594790185975        0.16514326070725116        -0.9165403484197393       
Redshift      All|All|All               All                   All      6.233077491895901          -1.3061720215949535       -1.7368951009481186        -2.533291251570276        
