#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5081.928852798667    All      0.8723301086237262         0.412517089313269          -0.07649812921378112      -0.15318998795203426      
Zeropoint     AB|SDSS|SDSS_z            7326.968644436598    All      0.10459809155918517        0.005755219221548202       0.10343469048810568       -0.027580560176145442     
Zeropoint     AB|SDSS|SDSS_g            3889.128907445603    All      -1.0824502693548814        0.5381728349604487         -0.11878137958152399      0.5225895945643848        
Zeropoint     AB|SDSS|SDSS_i            6162.7269647208      All      1.1040391010685418         0.042279569034420206       0.09344492781130266       -0.3416799924833789       
Check         All|All|All               All                  All      0.9985170318965717         0.9987247125296861         0.0016001095041032337     0.00013905395282620692    
Lambda        AB|SDSS|SDSS_r            5081.928852798667    All      -3.135786833018917e-05     1.214850644591842e-05      -0.0010384816191082468    -3.217120750544698e-05    
Lambda        AB|SDSS|SDSS_z            7326.968644436598    All      -2.0414138220355623e-05    -1.9039806363697281e-06    -3.091890037366831e-05    4.6495987728968534e-06    
Lambda        AB|SDSS|SDSS_g            3889.128907445603    All      -0.0011217938107509168     0.0003826335239574571      -0.0014741684575713307    0.0004242561094531275     
Lambda        AB|SDSS|SDSS_i            6162.7269647208      All      -0.00013982420649941895    -2.6441650015271646e-05    -0.0003557853499105734    2.1055362718696662e-05    
MWEBV         All|All|All               All                  All      -0.567199961604921         -3.1598917974404728        0.09910732253776407       -0.8401023233380711       
Redshift      All|All|All               All                  All      5.381779623941956          0.7442472672702038         1.9812679636324424        -1.4221819692684388       
