#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5081.928852798667    All      0.8948504294900054         0.3807961317592756         -0.0625939731457914        -0.1702376781927372       
Zeropoint     AB|SDSS|SDSS_z            7326.968644436598    All      0.1446023858639247         0.006827924679519981       0.12825650995645366        -0.03915417567438781      
Zeropoint     AB|SDSS|SDSS_g            3889.128907445603    All      -1.1993366517917061        0.5665897333209102         -0.1985157302514584        0.5663614755922367        
Zeropoint     AB|SDSS|SDSS_i            6162.7269647208      All      1.1594676626082925         0.04476766588954462        0.13683910496631868        -0.35698796069653493      
Check         All|All|All               All                  All      0.9995838261705164         0.9989814556492504         0.003985911525522523       -1.833897142322627e-05    
Lambda        AB|SDSS|SDSS_r            5081.928852798667    All      3.0882803581730136e-05     -1.0198527896397514e-05    -0.0012230749086694077     -6.796175699212916e-05    
Lambda        AB|SDSS|SDSS_z            7326.968644436598    All      -1.4564580177262791e-05    -2.021433329705279e-06     -4.494599225753323e-05     2.0799823805457522e-06    
Lambda        AB|SDSS|SDSS_g            3889.128907445603    All      -0.0012298016451278255     0.0004066234652661935      -0.001429587036429279      0.0004692415916622827     
Lambda        AB|SDSS|SDSS_i            6162.7269647208      All      -0.0001855661367739415     -3.2064111044828074e-05    -0.00046478935982741093    2.9259245417836524e-05    
MWEBV         All|All|All               All                  All      -0.568194546236064         -3.161760021668769         0.08778869864005112        -0.8408919946967486       
Redshift      All|All|All               All                  All      5.250735628990482          0.6728901270633969         1.8672979000077916         -1.4078259575329046       
