#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3057.9202979444544    All      -0.3581571520339404        0.057161596679478066       0.23167608194312184       0.1456216195243082        
Zeropoint     AB|MEGACAMPSF|i           4780.233463982902     All      1.7905471223714484         0.567313916900325          0.026622515004648406      -0.3972592576271944       
Zeropoint     AB|MEGACAMPSF|z           5509.091727467462     All      0.793217068255817          0.06111286978196517        0.011777104577159747      -0.2379448648686583       
Zeropoint     AB|MEGACAMPSF|r           3906.4584967315623    All      -1.152446563764161         0.2962246767218346         -0.3890198006544221       0.45451971589457324       
Check         All|All|All               All                   All      1.073160474829164          0.9818130600836028         -0.11894409912949211      -0.03506278707697125      
Lambda        AB|MEGACAMPSF|g           3057.9202979444544    All      -0.0008090992433611595     0.00012029205778213022     0.00043170728151456305    0.00032199843606214493    
Lambda        AB|MEGACAMPSF|i           4780.233463982902     All      -0.00030405630784526466    -0.00018789358675209866    -0.0016887713363477345    -3.752408859494256e-05    
Lambda        AB|MEGACAMPSF|z           5509.091727467462     All      -8.158324608412867e-05     -1.4989726861444917e-05    -9.948896127455935e-05    1.7251964667123493e-05    
Lambda        AB|MEGACAMPSF|r           3906.4584967315623    All      -0.000890340828862708      0.0001417590139973365      -0.0013652560719346156    0.00027526376579967496    
MWEBV         All|All|All               All                   All      -0.31664654235959677       -2.108850776017057         0.040257927176923225      -0.5819833542782482       
Redshift      All|All|All               All                   All      2.740214263791256          0.43807015409100813        2.067749652347839         -0.6576099046672945       
