#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7372.275590756654    All      0.5687999756326929         -0.12266022132960686       0.47725127127515415        -0.20393380221420315       
Zeropoint     AB|PS|PS_r                6086.669991617707    All      1.1113252687209532         -0.009767057124587808      -0.6420377903986487        -0.3938278511824612        
Zeropoint     AB|PS|PS_z                8472.543539341166    All      0.410084955983863          -0.10130127439342829       0.08400232256927861        -0.16282668149358312       
Zeropoint     AB|PS|PS_g                4792.909734400887    All      -1.0912768766850853        1.2330029965216482         0.07816760742181056        0.7605826825483784         
Check         All|All|All               All                  All      0.9989333236524239         0.9992744436740253         -0.0026165891324053947     -5.652341869111233e-06     
Lambda        AB|PS|PS_i                7372.275590756654    All      -6.734130169848522e-05     1.1446802373248768e-06     -0.0007217491638759651     -9.90021287139972e-06      
Lambda        AB|PS|PS_r                6086.669991617707    All      -0.00025892522276269904    8.611059526240846e-06      -0.0010591563731250063     3.988008442046058e-05      
Lambda        AB|PS|PS_z                8472.543539341166    All      0.00046067169562159647     -0.00011453827173569821    -0.00017133557739249175    -0.00019501073011728536    
Lambda        AB|PS|PS_g                4792.909734400887    All      -0.000370494651825839      2.1685632067818885e-06     -0.0008912258244747842     8.161735409758158e-05      
MWEBV         All|All|All               All                  All      -0.6735296382436422        -4.0686702429875155        0.08294197166564418        -1.1022076725165082        
Redshift      All|All|All               All                  All      6.084135635369935          0.807594924298094          13.047769344189502         -1.1364808830351398        
