#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7372.275590756654    All      0.5883014006533192         -0.11026869260666317      0.5550961944397526        -0.20277586795496294       
Zeropoint     AB|PS|PS_r                6086.669991617707    All      1.1308654339013087         -0.01140782092656778      -0.37981805731666096      -0.3890255142280974        
Zeropoint     AB|PS|PS_z                8472.543539341166    All      0.3889997222595717         -0.09164540547184075      0.012937971950210958      -0.15598456859095555       
Zeropoint     AB|PS|PS_g                4792.909734400887    All      -1.1118444864805366        1.2137578546667527        -0.1741541719752271       0.7497534917220466         
Check         All|All|All               All                  All      0.9963220703336629         1.000435935661681         0.014061937098075461      0.001967540948030755       
Lambda        AB|PS|PS_i                7372.275590756654    All      -0.0001620284180393469     2.528750460427572e-05     -0.0009671976585205337    1.785336919423761e-05      
Lambda        AB|PS|PS_r                6086.669991617707    All      -0.00022658126853001905    8.940209160821354e-06     -0.0013747249533004882    1.5369432927906677e-05     
Lambda        AB|PS|PS_z                8472.543539341166    All      0.0003944467058650239      -9.069273933708945e-05    -0.0005458810213538761    -0.00018238604075817408    
Lambda        AB|PS|PS_g                4792.909734400887    All      -0.0004898185661270755     0.0002073796078255834     -0.0005931655874555915    0.0002006301265378641      
MWEBV         All|All|All               All                  All      -0.6653380465023444        -4.0716534700277585       0.10607272965252879       -1.104815459141048         
Redshift      All|All|All               All                  All      6.840679347537244          -0.48037606154878176      18.368312994457337        -1.5650151559756909        
