#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5649.531472786717    All      -2.058700784406799         2.71677667156327          0.052616609971778416      1.5578781535948543        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6765.319524658194    All      3.0387695378248196         -1.5409454150022928       0.12230602929023116       -1.4863058719264988       
Check         All|All|All                            All                  All      0.9800687534180215         1.1758312565609774        0.17492263926200957       0.0715722816683555        
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5649.531472786717    All      -0.00013810078324238555    0.00027726486880416104    -0.0004030517330929926    0.00011731191029733114    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6765.319524658194    All      -0.0016736843801338729     0.0011514962374039735     2.2737523008538363e-05    0.000921268944035836      
MWEBV         All|All|All                            All                  All      -0.4891457603741536        -2.8812531301330324       0.6132477618805865        -0.7518216372577324       
Redshift      All|All|All                            All                  All      0.2266259584644394         0.40809018538396913       0.8779147687103972        0.09828617271428475       
