#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5649.531472786717    All      -2.032213982874202         2.5521582950979393         -0.4096025180814561       1.4750021931579747        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6765.319524658194    All      3.0284176918021664         -1.5457955346811048        0.41275964909604446       -1.4715521676081802       
Check         All|All|All                            All                  All      0.9962037089279643         1.0063627604168346         0.0031571310145883658     0.0034500255497944554     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5649.531472786717    All      -0.00011989058822677902    -0.00010845994820324365    -0.001151792130935909     -4.767585730120007e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6765.319524658194    All      -0.0018210327487527185     0.0008009588735037963      -0.0010821827997457855    0.0008057760842642808     
MWEBV         All|All|All                            All                  All      -0.5606328877369711        -3.366309178894511         0.0006624263085270808     -0.913871510994551        
Redshift      All|All|All                            All                  All      4.189690845189869          -0.7377517378948539        1.6867436607904094        -1.5297585347089373       
