#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4432.745111396263     All      0.848053264591438         0.6941585171260201         4.164127345070645         0.13569729602907502        
Zeropoint     AB|SDSS|SDSS_g            3392.3176910624043    All      -1.0211040774760503       0.11389581194620746        -1.6275102332382305       0.29707849754678184        
Zeropoint     AB|SDSS|SDSS_i            5375.4782125082065    All      1.0535188158117097        0.19005307912749458        -2.030874216974316        -0.37188778645266984       
Zeropoint     AB|SDSS|SDSS_z            6390.995502051109     All      0.12014295922956053       0.002659788259329332       -0.42726917861688213      -0.05733519493183846       
Check         All|All|All               All                   All      1.0006109621566581        1.0007671964590514         0.07847371624121585       0.0035528121913485228      
Lambda        AB|SDSS|SDSS_r            4432.745111396263     All      -0.0001507698038738223    -0.00013097854896201343    -0.0011671049331910986    -4.5635870011521694e-05    
Lambda        AB|SDSS|SDSS_g            3392.3176910624043    All      -0.0018489991184158332    9.699597297826952e-05      -0.004983370765048915     0.0004114896731538767      
Lambda        AB|SDSS|SDSS_i            5375.4782125082065    All      0.00024101035824077472    4.2281894986598284e-05     -0.0004138923723632087    -8.320251409379025e-05     
Lambda        AB|SDSS|SDSS_z            6390.995502051109     All      -2.858779950656608e-05    -7.797227611813738e-07     9.478739106818047e-05     1.3287931375154865e-05     
MWEBV         All|All|All               All                   All      -0.6973804773675585       -2.5946439650045505        -0.45909819013892966      -0.6384885797022883        
Redshift      All|All|All               All                   All      3.3300645441088355        1.2304862304667097         9.774292165316043         -0.247719963190172         
