#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            4432.745111396263     All      0.9473392201056103        0.666220341950563         4.059932210223066          0.08960646079658394        
Zeropoint     AB|SDSS|SDSS_g            3392.3176910624043    All      -1.08101666262285         0.16779491979566075       -0.4745961547314659        0.3855999704300651         
Zeropoint     AB|SDSS|SDSS_i            5375.4782125082065    All      0.9906898866021725        0.1634316759453469        -2.8855205553417473        -0.3982327448660082        
Zeropoint     AB|SDSS|SDSS_z            6390.995502051109     All      0.1424720242946486        0.003862123793219041      -0.6116484706391145        -0.07244486676840009       
Check         All|All|All               All                   All      0.9994844683795817        1.0013090614847897        0.08816702951073863        0.0045288195922408014      
Lambda        AB|SDSS|SDSS_r            4432.745111396263     All      -0.0001769468108260102    -0.0001750497478530085    -0.0015773595068871134     -6.977237442036901e-05     
Lambda        AB|SDSS|SDSS_g            3392.3176910624043    All      -0.0019165164564739863    6.828717875472465e-05     -0.004857505835676591      0.00042974766636515237     
Lambda        AB|SDSS|SDSS_i            5375.4782125082065    All      0.000197767971491639      4.437273105244649e-05     -0.00013777967246632057    -5.6114350347582554e-05    
Lambda        AB|SDSS|SDSS_z            6390.995502051109     All      -5.38542494343095e-05     -1.806506819032098e-05    -0.0003336861350793561     -3.233165883349597e-06     
MWEBV         All|All|All               All                   All      -0.7181017532362399       -2.587213340461325        -0.28592077303646324       -0.6215904668179416        
Redshift      All|All|All               All                   All      3.7695376613152067        1.4025913965305392        9.16396706523177           -0.3620465071165847        
