#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5590.252008846951     All      1.0813003887781687         0.0812274997869622        0.023754082127878263       -0.32469660577839976      
Zeropoint     AB|MEGACAMPSF|g           3096.1925123384426    All      -0.23863055163115982       0.039391945876232626      0.07894011500919372        0.0940838088806684        
Zeropoint     AB|MEGACAMPSF|i           4857.353954890838     All      1.3956763712333455         0.4676721523582117        0.35123369633605284        -0.28660755781012853      
Zeropoint     AB|MEGACAMPSF|r           3964.1227454166788    All      -1.2532518495647587        0.4116590330031755        -0.4473612988429106        0.5223525682822331        
Check         All|All|All               All                   All      0.9850943588155955         0.999950631024582         0.006566594630214195       0.005132213574373212      
Lambda        AB|MEGACAMPSF|z           5590.252008846951     All      -0.00014617536015504008    -9.249922750236498e-06    -3.1132439056388623e-05    4.3211821906865914e-05    
Lambda        AB|MEGACAMPSF|g           3096.1925123384426    All      -0.0007159442890530626     0.00011309613140351321    0.00015819598104849998     0.00027710529962873625    
Lambda        AB|MEGACAMPSF|i           4857.353954890838     All      -0.0002467778014250997     -0.0001475226748398646    -0.001428624761522665      -3.142230154507167e-05    
Lambda        AB|MEGACAMPSF|r           3964.1227454166788    All      -0.0011198412721315242     0.0003049874723445927     -0.0009598000351296475     0.0004212821301835034     
MWEBV         All|All|All               All                   All      -0.27355368034924754       -2.1534039077033995       0.08809005436268127        -0.6083980097415195       
Redshift      All|All|All               All                   All      3.458661339283018          0.5172510467538416        2.4190133445008364         -0.8501646463623981       
