#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5590.252008846951     All      1.3062170282268546         0.07096562889365998        0.1772381974620485        -0.3944526925996398       
Zeropoint     AB|MEGACAMPSF|g           3096.1925123384426    All      -0.23547647826551765       0.0449939303702962         0.09977927011128873       0.09581112985050828       
Zeropoint     AB|MEGACAMPSF|i           4857.353954890838     All      1.3594372885873458         0.482211531786092          0.31527304918512744       -0.2716721006719516       
Zeropoint     AB|MEGACAMPSF|r           3964.1227454166788    All      -1.4462172430025324        0.4015945947683619         -0.5908274137540692       0.5755271928620804        
Check         All|All|All               All                   All      0.9839605955461502         0.9997656858184101         0.0014631030043954496     0.0052135294409974        
Lambda        AB|MEGACAMPSF|z           5590.252008846951     All      -0.00013216984244415116    -3.4739705776226334e-07    6.555363890402956e-05     4.586426511929673e-05     
Lambda        AB|MEGACAMPSF|g           3096.1925123384426    All      -0.00047793937956627054    8.543309503776481e-05      0.0001934533877646953     0.00019214188557908752    
Lambda        AB|MEGACAMPSF|i           4857.353954890838     All      -0.0003459697060561352     -0.00016141943383376158    -0.002069892182424712     -3.225568624423839e-05    
Lambda        AB|MEGACAMPSF|r           3964.1227454166788    All      -0.000931882958460119      0.00026734673160474544     -0.0004936065527350314    0.0003686011701433763     
MWEBV         All|All|All               All                   All      -0.19227904742101898       -2.1702969505055236        -0.007019825010723402     -0.6446187684400566       
Redshift      All|All|All               All                   All      3.3894139761049438         0.7608670823376684         4.697205935626747         -0.6465894725037169       
