#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8332.871954531958     All      0.3411450337540479         -0.07462182598798606      0.14296087559387233       -0.12904925725917704       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6365.390983187981     All      1.2136667038646087         -0.14532904790907075      0.08611757144406354       -0.43882659429506277       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4390.0847698765065    All      -1.1763998422270596        0.8325405264778762        -0.11335135003823194      0.6493196201139082         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5418.692865104827     All      0.6206467737679497         0.38527215473636023       -0.11339396478948455      -0.0817295088624589        
Check         All|All|All                                   All                   All      0.9990586691595466         0.9978618073171797        0.002333132210219385      -0.00028574030279050755    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8332.871954531958     All      -5.286939660829199e-05     7.369397182973397e-06     -6.300584220513335e-05    1.6810095573016976e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6365.390983187981     All      -0.00041640186742228173    2.6277061793416358e-05    -0.0006204446406959101    0.00011650749623464444     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4390.0847698765065    All      -0.0004741928343653335     0.00010509208689709667    -0.0013072580610664557    0.0001303552335167185      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5418.692865104827     All      1.9317663903486228e-05     1.0666324058131948e-06    -0.001219655234893602     -6.037257285931484e-05     
MWEBV         All|All|All                                   All                   All      -0.8706194843097315        -4.110846274613156        0.0367791159791483        -1.0538071828711013        
Redshift      All|All|All                                   All                   All      4.909425628495421          -0.5643227429737108       0.752228972057194         -1.7494114013997708        
