#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8332.871954531958     All      0.4049003576421983         -0.07691890212551122       0.30059005398946903       -0.14353043073978902      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6365.390983187981     All      1.159430439530153          -0.11946532548479105       0.014186913529523615      -0.4159453282936154       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4390.0847698765065    All      -1.0916112214971716        0.822007479795106          0.06497058741683492       0.6262279061134801        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5418.692865104827     All      0.5261096696627556         0.3722680068900974         -0.3740365671760615       -0.0668028249106771       
Check         All|All|All                                   All                   All      0.9988292453379354         0.9978912590749012         0.005710987759766084      -5.067783060139219e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8332.871954531958     All      -5.7061579134494865e-05    8.336069266647005e-06      -7.423698475172028e-05    1.7989309931646967e-05    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6365.390983187981     All      -0.00044221883739714053    -1.4353167498020673e-06    -0.0008694376375354463    0.00010477868544136233    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4390.0847698765065    All      -0.0004869604552504008     0.00011479470817826784     -0.0013679024999539244    0.00013496824786155733    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5418.692865104827     All      -6.046024107565216e-05     2.9445795362674868e-05     -0.0014830240811670194    -3.689519957053897e-05    
MWEBV         All|All|All                                   All                   All      -0.8566591823136709        -4.110428358472928         0.08758726566417963       -1.0559510491085555       
Redshift      All|All|All                                   All                   All      4.910813777946278          -0.6050954642769835        0.2965984594284765        -1.7834772811992055       
