#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          6772.306470203817     All      0.9875667886917856        0.1508496412649052         1.88069482460897          -0.18861952979004934      
Zeropoint     AB|DECam|DECam_r          4756.985904776437     All      0.1478127967444755        0.41281683799638813        0.31326163473225177       0.10029996260919583       
Zeropoint     AB|DECam|DECam_g          3579.1723183656936    All      -0.595701332280544        0.3817586007832219         0.20261328701247786       0.32743255810569233       
Zeropoint     AB|DECam|DECam_i          5779.143715352136     All      0.45557339478135206       0.05334849346105841        -2.390338398803018        -0.2376877074776245       
Check         All|All|All               All                   All      0.995251647937069         0.9987735735055736         0.006231347550681665      0.0014252834472143205     
Lambda        AB|DECam|DECam_z          6772.306470203817     All      -0.0006717778194771592    -0.00011305905268112524    -0.0014529952681778375    0.00011715257819402939    
Lambda        AB|DECam|DECam_r          4756.985904776437     All      -9.55361994604385e-05     -1.5107110431618307e-05    -0.0007843259900899359    -8.802466323615976e-06    
Lambda        AB|DECam|DECam_g          3579.1723183656936    All      -0.0009758912698608231    0.0005629772262694303      -0.0003377396720393717    0.0004861883260784559     
Lambda        AB|DECam|DECam_i          5779.143715352136     All      -8.59373382621241e-05     -9.828593519956184e-06     0.0006291542319221262     5.28673858356675e-05      
MWEBV         All|All|All               All                   All      -0.47866697357624277      -2.6732148831079883        0.11398548358483689       -0.7097498040002028       
Redshift      All|All|All               All                   All      5.529762013065101         0.21154200558957115        7.446271435451407         -1.4000263259995724       
