#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|WFC3|WFC3_f160w        6053.449223366639     All      2.8611304606837895        -0.4966253799320697        0.6160882976744997         -1.0662383530405384        
Zeropoint     AB|ACSWF|F850LP           3560.9006764464675    All      0.020918147818906208      -0.015267008453001552      -0.02825610932414291       -0.013047636237562         
Zeropoint     AB|WFC3|WFC3_f125w        4931.821512123414     All      -1.8845848587389105       1.5145560182931561         -0.5831632819955912        1.081188113159176          
Check         All|All|All               All                   All      0.9974637497637853        1.0026636299080849         0.0046689063547655785      0.0019021238810756902      
Lambda        AB|WFC3|WFC3_f160w        6053.449223366639     All      -0.0006157416046273808    6.891030788192937e-05      -0.0005085864398716985     0.00020031777532471905     
Lambda        AB|ACSWF|F850LP           3560.9006764464675    All      -4.956192552468973e-05    -4.115758511765896e-05     -0.00042380254180874975    -1.6174790821097055e-05    
Lambda        AB|WFC3|WFC3_f125w        4931.821512123414     All      -0.0006890551178622528    -0.00028786454455336587    -0.004278565218667267      -6.0251746465318854e-05    
MWEBV         All|All|All               All                   All      -0.13870862395945704      -0.9532568860580071        -0.016397595382799945      -0.2660569161778481        
Redshift      All|All|All               All                   All      3.0416966443332654        0.5845855841156933         5.769734743729337          -0.5428851466862061        
