#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5273.493598679263    All      1.9637341559494688        0.4975107151166114        -0.13105657792007452      -0.4834456651491556        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4215.245268256203    All      -1.503499909143872        0.6167149279496797        -0.03542470150590393      0.6890428837091996         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7658.575631928858    All      0.5467164531261388        -0.11836094832791133      0.1665206626731086        -0.20920653767681902       
Check         All|All|All                                All                  All      1.0069506999317357        0.9958646947383798        3.938324713015362e-05     -0.0036093191167749783     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5273.493598679263    All      0.0005379052783885471     -1.259584585075413e-05    -0.0016245790344854493    -0.00025181382800124036    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4215.245268256203    All      -0.0009298865939611458    0.00023470485873126453    -0.0012026682529219046    0.0003256761895902637      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7658.575631928858    All      -0.0001298488391805244    3.139839538803461e-05     -6.61294749135826e-05     4.95724744317258e-05       
MWEBV         All|All|All                                All                  All      -0.7477316995312342       -3.9333106806536122       0.05745358123534494       -1.0350839871313147        
Redshift      All|All|All                                All                  All      4.566421473155554         -1.1895654620925455       6.849391407928329         -1.5692574307367813        
