#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_V    5273.493598679263    All      1.7301054633899293        0.44410557460095035       -0.2306516106975235        -0.4291853939591335        
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_B    4215.245268256203    All      -1.440813114254817        0.690847196067601         -0.08941111662053747       0.6903618851287963         
Zeropoint     Linear_AB11_off|CalanTololo|Bessell12_I    7658.575631928858    All      0.7196385044440856        -0.139157376610477        0.32011860504156164        -0.2654526489133123        
Check         All|All|All                                All                  All      1.008930853579198         0.9957953940580744        5.587772350068576e-05      -0.0042761577436495335     
Lambda        Linear_AB11_off|CalanTololo|Bessell12_V    5273.493598679263    All      0.0003717408713108366     0.00017939991072808478    -0.0029686833469574074     -0.00019513048179671552    
Lambda        Linear_AB11_off|CalanTololo|Bessell12_B    4215.245268256203    All      -0.0009604132373732227    0.0002921086956794928     -0.0014141831949799981     0.0003448790994594318      
Lambda        Linear_AB11_off|CalanTololo|Bessell12_I    7658.575631928858    All      -0.0001570750562232128    2.9921379655758475e-05    -0.00013983065928686706    5.467089106080473e-05      
MWEBV         All|All|All                                All                  All      -0.7277118966974307       -3.9299798288255694       0.0809149003293626         -1.0394731566068456        
Redshift      All|All|All                                All                  All      4.177361662135319         -1.7711215037614636       10.687458147526064         -1.4606844950116327        
