#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                            4834.57778319184     All      -1.160239966650198         1.2494841459732342         -0.11442562766789399       0.779820130825059          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.847053038903    All      0.023997899749623516       0.06976492238388587        -0.13610870184801882       0.008833918723480058       
Zeropoint     AB|PS|PS_z                            8546.201166366114    All      0.407160529050383          -0.12392037665254207       0.03898891337013769        -0.17125062689616166       
Zeropoint     AB|PS|PS_r                            6139.585584908524    All      1.260086739936359          -0.07097043029107297       0.17244860730263215        -0.4258735215071568        
Zeropoint     AB|PS|PS_i                            7436.367834516467    All      0.4689972964040042         -0.12571659201165986       0.04403088379224134        -0.191752982845644         
Check         All|All|All                           All                  All      1.0000024984901716         0.9986416694018452         0.004934074949098359       -0.00022308170042342756    
Lambda        AB|PS|PS_g                            4834.57778319184     All      -0.000578542081917517      0.00022493214915015596     -0.001641519760599946      0.00018846450288777862     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.847053038903    All      4.218065793400486e-06      8.79258317522121e-06       1.4764692628048226e-06     1.5559588504315913e-06     
Lambda        AB|PS|PS_z                            8546.201166366114    All      0.0004575474229766528      -0.00013831702398522662    -1.9509342585812162e-05    -0.0001949632660899465     
Lambda        AB|PS|PS_r                            6139.585584908524    All      -0.00014174999433559565    -5.008626750490932e-06     -0.000219712177832553      3.47364166847052e-05       
Lambda        AB|PS|PS_i                            7436.367834516467    All      -5.022298141024159e-05     -5.021034069353198e-05     -0.0005562911080592882     -2.4820599702740354e-05    
MWEBV         All|All|All                           All                  All      -0.6993955610894673        -4.12318604540145          -0.004774405884457427      -1.1154542599081934        
Redshift      All|All|All                           All                  All      5.843260730780686          1.0562580264046773         8.298085568061957          -1.1889788213522867        
