#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                            4834.57778319184     All      -1.1398454169291965       1.300585083231276          -0.009492849716430385      0.7945048793971732         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5412.847053038903    All      0.0069515689231852        0.07718757903631968        -0.023750432942026833      0.021818306449536418       
Zeropoint     AB|PS|PS_z                            8546.201166366114    All      0.44570401543387844       -0.13534721747801015       0.10475177391935375        -0.1845929120146375        
Zeropoint     AB|PS|PS_r                            6139.585584908524    All      1.1147625854728493        -0.10311854278786114       -0.21911503816269828       -0.40648204836775254       
Zeropoint     AB|PS|PS_i                            7436.367834516467    All      0.5648819690955437        -0.13790738914600809       0.14718520126240087        -0.2223534155272322        
Check         All|All|All                           All                  All      0.9924547219962604        1.0013995128557163         -0.000421345639400883      0.002894809937087295       
Lambda        AB|PS|PS_g                            4834.57778319184     All      -0.000652138205595901     0.000413945995328658       -0.0012254317094754232     0.00029257330837994335     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5412.847053038903    All      2.2210929475337516e-05    4.91891306518522e-06       -2.0852730587647027e-05    -6.563140228227994e-06     
Lambda        AB|PS|PS_z                            8546.201166366114    All      0.0005069923793145156     -0.00015417499414522258    0.00010487985467881147     -0.00021068365907776584    
Lambda        AB|PS|PS_r                            6139.585584908524    All      9.123091643918672e-05     3.260921864313638e-05      0.0003527376364213336      -3.3539549206278936e-06    
Lambda        AB|PS|PS_i                            7436.367834516467    All      6.243277077903604e-07     -4.28545236765451e-05      -0.00036431445399621104    -3.042017315368612e-05     
MWEBV         All|All|All                           All                  All      -0.6881954306442006       -4.124721269498455         0.025121537721783938       -1.1182684652072865        
Redshift      All|All|All                           All                  All      4.948512999719231         0.4714122332330817         7.0599895888074915         -1.14328410189561          
