#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8445.945895612844    All      0.4025092923836074         -0.08988892590044983       -0.024396084383337957      -0.16147898431419366      
Zeropoint     AB|PS|PS_i                7349.13199064183     All      0.6282226892642777         -0.12994450761967258       0.9015238787273505         -0.20672912882680888      
Zeropoint     AB|PS|PS_r                6067.562260960768    All      1.0238832955436814         -0.005696671269905806      -1.3559688735147235        -0.39587873045117405      
Zeropoint     AB|PS|PS_g                4777.863472915695    All      -1.0749188724887049        1.2246683508463363         0.33480887676787807        0.7639921952613162        
Check         All|All|All               All                  All      0.9796964047028612         0.9991382460563081         -0.14403220240283288       -9.464833086036961e-05    
Lambda        AB|PS|PS_z                8445.945895612844    All      0.0003809060299662698      -6.960471260925589e-05     -0.00014100691128538846    -0.0001530386610493889    
Lambda        AB|PS|PS_i                7349.13199064183     All      -0.00023922493395899338    2.3461506190780702e-05     -0.0012348831882060731     3.045845060766842e-05     
Lambda        AB|PS|PS_r                6067.562260960768    All      -0.00032053438958333025    9.189975541979424e-07      -0.0008048146344032122     6.879276293950754e-05     
Lambda        AB|PS|PS_g                4777.863472915695    All      -0.0002614385642147133     -0.00018062658415607822    -0.002041329406601623      -6.477203538950728e-05    
MWEBV         All|All|All               All                  All      -0.6841408680281331        -4.0449636724607           0.09446038592740846        -1.0905152220066814       
Redshift      All|All|All               All                  All      5.504654091389849          1.4027274903765097         13.281317356858214         -0.7434482485745159       
