#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                8445.945895612844    All      0.4135706881149347         -0.09090521488008818      0.11470397252056778       -0.1592056868924121        
Zeropoint     AB|PS|PS_i                7349.13199064183     All      0.5857554646170126         -0.12304375629179631      0.677600001034163         -0.20064104910981387       
Zeropoint     AB|PS|PS_r                6067.562260960768    All      1.0709132663638115         -0.003676281384912272     -0.9520057190188138       -0.39251281148348577       
Zeropoint     AB|PS|PS_g                4777.863472915695    All      -1.0711369921663325        1.2168309367384111        0.16354988259728614       0.7525649064562123         
Check         All|All|All               All                  All      0.9991024269294262         0.9992056841816144        0.0038481371332030334     0.00020535897050066865     
Lambda        AB|PS|PS_z                8445.945895612844    All      0.0004533589478173107      -8.086357495298308e-05    -5.92072025252061e-05     -0.00017665599658509676    
Lambda        AB|PS|PS_i                7349.13199064183     All      -0.00014791333606052138    1.846050740365019e-05     -0.0009065457849809583    1.3738459583641778e-05     
Lambda        AB|PS|PS_r                6067.562260960768    All      -0.00020370251165791582    7.581862868463011e-06     -0.0006905739571412135    3.800512781694872e-05      
Lambda        AB|PS|PS_g                4777.863472915695    All      -0.0002940101694076021     -7.02625172486814e-05     -0.0014117645888369057    9.881401787708336e-06      
MWEBV         All|All|All               All                  All      -0.669057369278879         -4.048131270960642        0.12037151601305934       -1.0953039100938027        
Redshift      All|All|All               All                  All      4.85132604301616           1.0298144506043272        11.53112878677002         -0.7302107324509249        
