#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7889.258316039819    All      0.3845191401468052        -0.09251614730549917      0.25900786399508247       -0.1438277557280059        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4375.083423009181    All      -1.130155040945045        0.7860995218887723        0.04505859658793074       0.6261979122366006         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6364.219240761375    All      1.2458699475889767        -0.17106241648452425      0.05237120638558114       -0.45920440026015524       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5364.640424971145    All      0.49814818134229666       0.47547484755670055       -0.3551515600787162       -0.02323423371869062       
Check         All|All|All                       All                  All      0.9983822281330338        0.9979958056554494        0.0012861068898781802     -6.847747025114787e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7889.258316039819    All      4.906335693992358e-05     -7.417737962490053e-06    0.0001459296249748322     -1.1885581850443524e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4375.083423009181    All      -0.0005545810572999427    0.00022184083506705086    -0.0008017564224121531    0.00021712744706727316     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6364.219240761375    All      -0.0003435109029504686    2.4733152945494643e-05    -0.0007221622771292854    8.772241821799712e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5364.640424971145    All      5.17609841614035e-05      9.232452492485818e-05     -0.0014082073387165015    -4.96289461370378e-05      
MWEBV         All|All|All                       All                  All      -0.8377667049548436       -4.0691039869732215       0.056777611545848164      -1.050019136559152         
Redshift      All|All|All                       All                  All      3.5700644426334582        -0.32797753294584453      1.1421649549364778        -1.2187509370530962        
