#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_I    7889.258316039819    All      0.40780270517217215       -0.09285761561637074      0.2426443266498879         -0.15225343584283657      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_B    4375.083423009181    All      -1.1940735556375501       0.8084500306153153        0.15698852038856792        0.6592934897544297        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_R    6364.219240761375    All      1.2666358689945052        -0.15329023438619416      0.07397102623065699        -0.459215658888306        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K2_V    5364.640424971145    All      0.5173568130807703        0.43543535237642317       -0.4736209979982142        -0.04782004476550569      
Check         All|All|All                       All                  All      0.9977218316098977        0.9977375329891736        -1.7124729101425373e-05    4.350257781421396e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_I    7889.258316039819    All      1.3808122099989005e-05    4.920306764107541e-07     6.671884611487843e-05      -1.360133389524399e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_B    4375.083423009181    All      -0.0006273270174552082    0.00019413521617039691    -0.0011684842488973728     0.00021543318942236647    
Lambda        Linear_AB11_off|LOSS|LOSS_K2_R    6364.219240761375    All      -0.0002534820104976711    3.0717873674065694e-05    -0.00022586540126216277    8.249391667714023e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K2_V    5364.640424971145    All      0.00012464266167068445    5.175361489644814e-05     -0.001127236869284433      -7.404576477726504e-05    
MWEBV         All|All|All                       All                  All      -0.8403788513598296       -4.0676516793062945       0.06227663037408071        -1.0484498141971388       
Redshift      All|All|All                       All                  All      3.7044918792769477        -0.21304391549081814      3.4242443112584953         -1.123261994829105        
