#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3645.5060635912832    All      -0.15679682945174578       0.1371357965854081         -0.5304061839388197        0.07207393447476729        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8195.280757322125     All      0.2421752757746326         0.1812935465124177         1.2819430896138573         0.0373760501677145         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4377.469155724728     All      0.1132979741980169         -0.2703449127820612        1.8650861984361            -0.041734878760368854      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5359.567168015625     All      -0.29439807059915973       0.14664440542313528        -2.638301430877815         0.025926768727047023       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6321.213826107091     All      -0.15866426273868628       -0.5869910282623181        -5.459717183284471         -0.3831622213790242        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4377.460955943573     All      -0.30378623708071445       0.4211580119958036         -0.49929437345077043       0.2138569771706067         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6321.208422976766     All      1.0499928534360419         0.7479467831060127         4.037986440827212          0.08181044692615602        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5359.558972098279     All      0.9761491679938445         0.19110262061774463        4.468580458217089          -0.056303265342136366      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3645.5176596592287    All      -0.46334810995847353       0.3152662474525947         -0.7580258739310841        0.21979309859365137        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8195.282406627519     All      0.03519343014597709        -0.2979060914148235        -1.5786247395467383        -0.17894824458589698       
Check         All|All|All                                  All                   All      1.0398151917197331         0.9853053792339139         0.18922640206456043        -0.009311334007483518      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3645.5060635912832    All      -0.0004268786543576886     0.0004059614584816131      -0.0012854846030644776     0.00021391815056008738     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8195.280757322125     All      9.947933888059583e-06      8.518266840280094e-06      3.739942124064407e-05      1.2032748085305368e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4377.469155724728     All      0.00013145302371586897     -0.00027967120717224767    0.0018631574822774426      -5.0772526324464813e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5359.567168015625     All      -0.00031233780253059785    0.00015123472036210702     -0.0028343090174833847     2.4518627849342386e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6321.213826107091     All      2.190205462475285e-05      4.57204358024724e-05       0.0005274370433254391      3.1295523163942903e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4377.460955943573     All      -0.00031857212797702203    0.00044540953454262145     -0.0005166417532684508     0.00022579861313415823     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6321.208422976766     All      -9.826835174455757e-05     -8.531587526090144e-05     -0.00039926644833911877    -1.3598380110359334e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5359.558972098279     All      0.0005062713365764096      -7.5557294060485795e-06    0.0018981575733645064      -8.266432522199377e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3645.5176596592287    All      -0.0014128868635189641     0.0009568595510790776      -0.0024169670669813388     0.0006640462301047552      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8195.282406627519     All      3.1439211372627526e-06     -3.31120272198051e-05      -0.0001788290845313484     -1.9790075875525273e-05    
MWEBV         All|All|All                                  All                   All      -1.0833104110995495        -3.9258436381111927        -0.538535357548886         -0.9499389482071143        
Redshift      All|All|All                                  All                   All      7.9101901129159895         -4.588687899633026         2.187425225007622          -3.9736810282485253        
