#Format:      
#Parameter    MagSys|Instrument|Band                       RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3645.5060635912832    All      -0.12495844815078626       0.1435614742146818         -0.28669411346228807       0.07467193121209596        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8195.280757322125     All      0.20624784338234958        0.1921149377148268         1.0235605798331335         0.04107325529954936        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4377.469155724728     All      -0.02007580999520711       -0.34184761465674285       0.8144621495885546         -0.06846595770941491       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5359.567168015625     All      -0.20153990047030573       0.1704817452029772         -2.0079237035167554        0.03157527631644541        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6321.213826107091     All      -0.024780976872913918      -0.6066966771522075        -4.645111123642661         -0.39683906326330237       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4377.460955943573     All      -0.26835078122514955       0.45998432079414897        -0.1472962991381553        0.23066954691771052        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6321.208422976766     All      0.9994926222544145         0.7994928102877275         3.660916771092123          0.0982233829553531         
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5359.558972098279     All      0.8109636654222395         0.1384752205313866         3.336418657321205          -0.07016256965402207       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3645.5176596592287    All      -0.42798976691703966       0.31358371757530534        -0.48214320272274375       0.22003904420825054        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8195.282406627519     All      0.05870682778099501        -0.27259782135180544       -1.2274425930320834        -0.1626919493088586        
Check         All|All|All                                  All                   All      1.007715275208596          0.9965521131602983         0.038747122320329286       -0.0019071030261930688     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_U    3645.5060635912832    All      -0.0003631467762667706     0.00041365408589794756     -0.0008519155247535356     0.0002150125196330566      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_I    8195.280757322125     All      5.045623470074122e-06      5.6327246318587715e-06     2.622217645405405e-05      1.3614134644918743e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_B    4377.469155724728     All      -3.298784508349887e-05     -0.0002905923496419771     0.0005694730413636656      -5.849729573018112e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_V    5359.567168015625     All      -0.0001942502015645819     0.0001593749752032013      -0.001979204456291962      2.6864549268985135e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_R    6321.213826107091     All      5.068093552984396e-06      9.536884814192095e-05      0.0007308434198056251      6.202811175970919e-05      
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_B    4377.460955943573     All      -0.00024340294637101648    0.0004190721791156132      -0.0001297509497139035     0.00020999975419407977     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_R    6321.208422976766     All      -0.0001413238404357592     -0.00012349250696319186    -0.0005726987106627843     -1.9748661201379186e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_V    5359.558972098279     All      0.0004184982339150397      5.764687872070263e-05      0.0015007867540745496      -5.056793807365595e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh1_SAO_U    3645.5176596592287    All      -0.0011571358798967157     0.0008387281387199129      -0.0013317527381341962     0.000590688564655454       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_SAO_I    8195.282406627519     All      6.052216538911533e-06      -2.776180223770585e-05     -0.00012477643401430415    -1.658253753634432e-05     
MWEBV         All|All|All                                  All                   All      -1.0776760315890028        -3.9066928938337853        -0.36755391711358165       -0.9379061071300794        
Redshift      All|All|All                                  All                   All      7.707088805898302          -4.233922806617052         -1.2744117957869494        -3.946451475093865         
