#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3799.3958139898923    All      -1.2202250781341466       0.4291913828449623         -1.3150444689936092       0.47858481066025554       
Zeropoint     AB|SDSS|SDSS_r            4964.674524763815     All      1.0679170273955354        0.4788926432144791         1.899668281593575         -0.10709114970773176      
Zeropoint     AB|SDSS|SDSS_i            6020.535598009191     All      1.099398923210594         0.08476423090151286        -0.6684746931739038       -0.36033085513808016      
Zeropoint     AB|SDSS|SDSS_z            7157.914962297242     All      0.05086792734827388       0.005520176492623818       0.08773021147386317       -0.010856257942583325     
Check         All|All|All               All                   All      0.9979587998202567        0.9983684334535781         0.003879330899925204      0.00030654787186029653    
Lambda        AB|SDSS|SDSS_g            3799.3958139898923    All      -0.001619009168567979     0.0003568313801607155      -0.0041117527792136335    0.0004601076280053507     
Lambda        AB|SDSS|SDSS_r            4964.674524763815     All      -0.000245519105211972     -0.00011686887000282528    -0.0007719029173452967    7.45913209538796e-06      
Lambda        AB|SDSS|SDSS_i            6020.535598009191     All      -0.0003231575251425999    -2.154434588877664e-05     9.472116329319126e-05     0.00010247230574103923    
Lambda        AB|SDSS|SDSS_z            7157.914962297242     All      -2.700106630124001e-05    5.577786336599006e-07      4.32984552086161e-05      1.0909033647713457e-05    
MWEBV         All|All|All               All                   All      -0.5581480422639191       -3.0447204809197714        0.21659926940161833       -0.8002926184846354       
Redshift      All|All|All               All                   All      4.8660457201995335        1.0057766253048328         6.475844634941252         -0.9684294397093646       
