#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                  dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5398.0345353992825    All      0.9983479866268328      1.0006485479480354       -0.0009475667605948591    0.0007070829560263942    
Check         All|All|All                           All                   All      0.9983479866268328      1.0006485479480354       -0.0009475667605948591    0.0007070829560263942    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5398.0345353992825    All      0.021086958466018525    -0.009148998639259494    9.481898221492798e-05     -0.009844614626942859    
MWEBV         All|All|All                           All                   All      -1.0599001775740224     -3.965584211318074       -0.014400250602081171     -0.9471195010021293      
Redshift      All|All|All                           All                   All      -78.72691780440917      32.80487897810893        -6.538359674702648        36.0377985365094         
