#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                 dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5398.0345353992825    All      0.978904009417251      1.0084339945803045       -0.0012695246877192368    0.009562234619164833     
Check         All|All|All                           All                   All      0.978904009417251      1.0084339945803045       -0.0012695246877192368    0.009562234619164833     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5398.0345353992825    All      0.02103076772350844    -0.009120680520839867    9.849731145490366e-05     -0.009816923163739083    
MWEBV         All|All|All                           All                   All      -1.0294634584939546    -3.979534060221024       -0.008722906787939078     -0.9613243126895821      
Redshift      All|All|All                           All                   All      -35.398826547455485    17.353507924882106       0.21812077351129888       17.192904566224314       
