#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7337.821272924618    All      0.6412132883240372         -0.061707728246052085      0.35515499328295785       -0.21311556432909579       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5366.561299669996    All      0.2701879672165504         0.13871904805835555        -0.5165254887212534       -0.06587391241466012       
Zeropoint     AB|CNIa02|SDSS_r                      6050.939114620483    All      1.1724183337078982         -0.055012993324776716      -0.06759484235596691      -0.4028312118682223        
Zeropoint     AB|CNIa02|SDSS_g                      4630.698876255231    All      -0.4909432408275215        0.6156001277672019         0.47508875776487436       0.3816386086021209         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4289.636784788416    All      -0.594142101873803         0.35994531318168654        -0.2448232330686695       0.2998523231677791         
Check         All|All|All                           All                  All      0.9987342465471613         0.9975437674364152         0.0013001869019424461     -0.00032975684207819933    
Lambda        AB|CNIa02|SDSS_i                      7337.821272924618    All      -0.00017969635664092274    -2.94298656808875e-05      -0.0007291464671091221    1.640828174791059e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5366.561299669996    All      -0.0001147876684256729     6.464266252680036e-05      -0.000769327556290345     2.4114806430194127e-05     
Lambda        AB|CNIa02|SDSS_r                      6050.939114620483    All      -0.0002944659165462137     -1.3684955571486101e-05    -0.0005045763516895607    6.894267126816214e-05      
Lambda        AB|CNIa02|SDSS_g                      4630.698876255231    All      0.00016723964864692292     -0.00018271346045222413    -0.0001451218668251861    -0.00012046736314468976    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4289.636784788416    All      -0.00017171781650063072    3.58937647397245e-05       -0.0003690803302067894    5.115556221564335e-05      
MWEBV         All|All|All                           All                  All      -0.8489905552279695        -4.007432646824416         0.007947254411955207      -1.0284538494273645        
Redshift      All|All|All                           All                  All      4.161264327101771          0.2756754950801188         -0.0721762275488258       -1.2688850082071144        
