#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7337.821272924618    All      0.6475717486744812         -0.0961893161671945        0.2053287917005599         -0.233104566898599        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5366.561299669996    All      0.2514159830721491         0.20000526007235564        -0.3159640592726561        -0.030846188638484463     
Zeropoint     AB|CNIa02|SDSS_r                      6050.939114620483    All      1.1958559992417168         -0.0705226991293273        -0.04737192721078628       -0.41461519622114723      
Zeropoint     AB|CNIa02|SDSS_g                      4630.698876255231    All      -0.5644146129554017        0.6106337124013983         0.32835596512442833        0.3974049161494615        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4289.636784788416    All      -0.5323509908951984        0.3534145464345606         -0.1706024148014986        0.28090977410487095       
Check         All|All|All                           All                  All      0.998078127137747          0.9973415036117927         -0.0002536444599527399     -0.0002512615038983146    
Lambda        AB|CNIa02|SDSS_i                      7337.821272924618    All      -0.00011907900100473231    -3.8519357697347804e-05    -0.0006347652297848277     -2.085730675288891e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5366.561299669996    All      -3.961232555020914e-05     9.527453989116778e-05      -0.0006247322964972246     1.6058156619302e-05       
Lambda        AB|CNIa02|SDSS_r                      6050.939114620483    All      -0.00012800837912977774    -1.5955726357516315e-05    -0.0002980426277193206     2.319896181586791e-05     
Lambda        AB|CNIa02|SDSS_g                      4630.698876255231    All      7.849459456584663e-05      -9.864175491963346e-05     -8.73707717004569e-05      -6.159809290177287e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4289.636784788416    All      -0.00023711395058504504    0.00011144694665794857     -0.00029231168547422937    0.00010049322356124568    
MWEBV         All|All|All                           All                  All      -0.839677686282958         -4.013457313784219         0.005624002727796724       -1.033553465513861        
Redshift      All|All|All                           All                  All      3.6502194035973314         -0.5317710531616449        0.1293770690608684         -1.3564383707809895       
