#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4272.734726687177     All      -0.5068693348086628        0.16182111739695415       -0.5494626693152149        0.19329448420502687        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6041.940991455691     All      1.2295780074794438         0.005849410402092303      0.1248779633321373         -0.3930359335833383        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7387.198018142936     All      0.3768103024291633         -0.024207116159580266     0.13364478084088027        -0.12466061355489999       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5220.09947555001      All      0.4322966237775222         0.38210624399948045       -0.10158239341113706       -0.020881813575038266      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3491.7819394231365    All      -0.22548793088983832       0.16532575796253113       0.03507447088093585        0.12886608839187547        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4667.562426917331     All      -0.31304376735149764       0.3120918490092883        0.3569219821002001         0.21955502537736593        
Check         All|All|All                              All                   All      0.9932839006361305         1.002987262610766         -0.0005258655721984695     0.0031372372609916876      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4272.734726687177     All      -0.00043142729745215954    9.5990464770239e-05       -0.001092552951517022      0.00012304169637282296     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6041.940991455691     All      -0.0001310654766297381     4.386615299721172e-05     -0.00017207468952886636    4.930208376595933e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7387.198018142936     All      6.822846958313357e-06      1.7741671640260347e-05    -2.367966151272571e-05     2.499905881010934e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5220.09947555001      All      0.0002642090693717518      3.8500266594860846e-05    -0.0011640846241609522     -0.00012546853299248906    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3491.7819394231365    All      -0.00040144636042301724    0.0002818171935725292     8.243680664591754e-05      0.00022624019430164078     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4667.562426917331     All      -9.062938901496979e-05     -7.920968014994439e-05    -0.0005449994259685159     -2.0601046414547646e-05    
MWEBV         All|All|All                              All                   All      -0.9967111023380668        -3.847831482783093        0.04510705056668396        -0.9266907864877494        
Redshift      All|All|All                              All                   All      6.986778796591793          -0.02356909125866835      10.151418160556668         -1.830489771939478         
