#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4272.734726687177     All      -0.5353452134458284        0.2756877808299585        -0.1994351451673535       0.25528025387226694        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6041.940991455691     All      1.2162394611771825         -0.028553137060249867     0.13253618176082863       -0.3995554206306837        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7387.198018142936     All      0.3748124262345025         -0.06846972392011708      0.22910990189435562       -0.13416745719709866       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5220.09947555001      All      0.4952303659190579         0.34555435951411084       -0.21389694402863202      -0.05829963769930606       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3491.7819394231365    All      -0.23525477308713366       0.12207333907969797       0.054373161871022445      0.11881994636585072        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4667.562426917331     All      -0.32119819858532306       0.35259211243152677       -0.0018221028674155096    0.21939435925863648        
Check         All|All|All                              All                   All      0.9944840682124578         0.9988847308749271        0.0008650534628056633     0.0014720439696656873      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4272.734726687177     All      -0.00038562761026292135    0.00011467642534029739    -0.0007097752491636614    0.0001312914744194779      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6041.940991455691     All      -0.00019716684441919662    0.00010653936245191335    -0.0008883782551720938    5.928286186075997e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7387.198018142936     All      -7.36978485485322e-05      8.9892402068346e-05       -0.0002927636172341165    4.0222030962802684e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5220.09947555001      All      0.0001644859859887995      0.000173330880104875      -0.001583698033184165     -6.779209655705379e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3491.7819394231365    All      -0.0006896024470292946     0.0003206747609952038     0.00012046200452461797    0.0003344561897864401      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4667.562426917331     All      -0.00015051688589545867    -7.116021586898668e-05    -0.000874028111932468     -1.3154782185106236e-05    
MWEBV         All|All|All                              All                   All      -0.9911091010026527        -3.8828689845285425       0.06208512743715824       -0.9391707560478824        
Redshift      All|All|All                              All                   All      9.014845643305822          -1.3056361351399204       18.60879297565117         -2.53129548559659          
