#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|g           3498.9963584013426    All      -0.47082763509718323       0.16576892710702396       -0.17085648500267947      0.1997359035045082        
Zeropoint     AB|MEGACAMPSF|i           5472.263152818257     All      1.246172228735188          0.30558596100114244       0.13894312968937284       -0.3001794980347236       
Zeropoint     AB|MEGACAMPSF|z           6305.57278550345      All      0.6998918299911367         0.000961276111510756      0.18926956196200218       -0.21921844426411458      
Zeropoint     AB|MEGACAMPSF|r           4471.0903875230515    All      -0.4907385044318256        0.5074571989428733        -0.19289445241456038      0.3165371867732587        
Check         All|All|All               All                   All      0.9844979191973158         0.9797733631625505        -0.03553824576586484      -0.003124852021071267     
Lambda        AB|MEGACAMPSF|g           3498.9963584013426    All      -0.000886366555950807      0.00031025389516076845    -0.0003934211519221549    0.0003722220694782541     
Lambda        AB|MEGACAMPSF|i           5472.263152818257     All      1.606231549406193e-05      -8.61988269820095e-05     -0.0014137713474077498    -9.639994041398475e-05    
Lambda        AB|MEGACAMPSF|z           6305.57278550345      All      -0.00019520572484654701    -7.457099457862124e-06    -0.0001980052420291675    5.2319839488823764e-05    
Lambda        AB|MEGACAMPSF|r           4471.0903875230515    All      -0.00024122046621645547    -0.0001825889862155492    -0.0015518709024810642    -5.015466893778487e-05    
MWEBV         All|All|All               All                   All      -0.45334547897189426       -2.568598245476039        -0.026606499082515445     -0.6901947416542181       
Redshift      All|All|All               All                   All      3.6540005344929924         0.4260215332916317        0.2271841770849048        -1.0413207716419313       
