#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5677.090191866199    All      3.515889936154961         -0.36329623940698497       0.5893933610861657        -1.237276640095486       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4740.781214530633    All      -2.518189345850541        1.3661148550383473         -0.5892746013989925       1.238949049021898        
Check         All|All|All                            All                  All      0.9977005903044203        1.0028186156313623         0.00011875968717323104    0.0016724089264119613    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5677.090191866199    All      -0.001358539225513054     1.817275255930302e-05      -0.0013060977462527339    0.0003901552400116392    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4740.781214530633    All      -0.0009165874557081437    -0.00016139195721080475    -0.0033951099598758814    9.448385472128443e-05    
MWEBV         All|All|All                            All                  All      -0.29396579039918924      -2.6375720765470234        -0.019368347310133593     -0.7642539901398445      
Redshift      All|All|All                            All                  All      3.72431647246378          2.070843880752804          7.208894225876938         -0.21689058070548384     
