#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          4969.697826613257     All      0.6351090561674144        0.25925489938334323       -0.3223319600848873       -0.13681225906048886      
Zeropoint     AB|DECam|DECam_z          5823.754937383498     All      1.0988412389135223        0.22919096558595697       0.7679284423813493        -0.24900458525124444      
Zeropoint     AB|DECam|DECam_g          3077.8616639009288    All      -0.5044216201904055       0.12086389608967352       0.44152539050428263       0.22337931426031457       
Zeropoint     AB|DECam|DECam_r          4090.7068030504706    All      -0.2370019539368612       0.3893945273908628        -0.8777777441214996       0.16486675256777802       
Check         All|All|All               All                   All      0.99252672095367          0.9987042884498365        0.009344128679245056      0.0024292225163592973     
Lambda        AB|DECam|DECam_i          4969.697826613257     All      -0.0001284245450225442    -4.013491960310773e-05    -0.0006559887311088807    -5.149285806124442e-07    
Lambda        AB|DECam|DECam_z          5823.754937383498     All      -0.0003994033597863281    -9.030238806121022e-05    -0.0004901713215334714    7.881026080619946e-05     
Lambda        AB|DECam|DECam_g          3077.8616639009288    All      -0.0013585732520791038    0.0003118971443584888     0.0008632019432973702     0.0005826479031496197     
Lambda        AB|DECam|DECam_r          4090.7068030504706    All      -9.875304325046572e-05    0.00025226397983810786    -0.000425685411242826     9.53414077356047e-05      
MWEBV         All|All|All               All                   All      -0.45630292430388275      -2.1202371841162915       0.40571809328419084       -0.5238927951245846       
Redshift      All|All|All               All                   All      5.747526768680215         0.18991444762583853       10.07569131844236         -1.360665345416213        
