#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                    
Zeropoint     AB|DECam|DECam_i          4969.697826613257     All      0.6461994304595152         0.2720962974933627        -0.2706443526398807        -0.13393531246834403     
Zeropoint     AB|DECam|DECam_z          5823.754937383498     All      1.0503496345645198         0.2500012999925971        1.2347348856360267         -0.20559923623445836     
Zeropoint     AB|DECam|DECam_g          3077.8616639009288    All      -0.4386271114423368        0.12154963334225499       0.5825207174011726         0.20846321924057085      
Zeropoint     AB|DECam|DECam_r          4090.7068030504706    All      -0.2631226015350479        0.35482362707703885       -1.530161689567411         0.13300132805907214      
Check         All|All|All               All                   All      0.9947993520466505         0.9984708579052537        0.01644956082990756        0.0019299985968405653    
Lambda        AB|DECam|DECam_i          4969.697826613257     All      -0.00011167603506266477    -3.200011106725526e-05    -0.00043914372273154374    6.356102274002612e-06    
Lambda        AB|DECam|DECam_z          5823.754937383498     All      -0.000311678083820421      -7.7848266042745e-05      -0.000498635264951439      5.39142626968498e-05     
Lambda        AB|DECam|DECam_g          3077.8616639009288    All      -0.0012161280959103495     0.0003374953869226153     0.0016006048523219993      0.0005774939243000256    
Lambda        AB|DECam|DECam_r          4090.7068030504706    All      -0.00014331998007743735    0.00019083679445865048    -0.0009259354210437526     6.752560972413476e-05    
MWEBV         All|All|All               All                   All      -0.4778143861337443        -2.11554751767018         0.49484566159835924        -0.5113808716278373      
Redshift      All|All|All               All                   All      4.869021404457161          0.04142860144256133       4.405106221917805          -1.3759261402644496      
