#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                    dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4302.84083101779      All      -2.737586788424056        0.8607834729232877       -0.48704134434365204     1.150373158688034          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5152.6561495943215    All      3.732962583186184         0.14126797772817667      0.4881387053745096       -1.1481497077595113        
Check         All|All|All                            All                   All      0.9953757947621276        1.0020514506514644       0.0010973610308575577    0.002223450928522608       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4302.84083101779      All      -0.0008628546804352813    9.620570489522175e-05    -0.002869396094676637    0.00018434955060579926     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5152.6561495943215    All      0.0011717846066829326     2.640031841513395e-05    0.0007709741894862763    -0.00033868430759224064    
MWEBV         All|All|All                            All                   All      -0.05554408683617407      -2.2881723153911793      -0.009911421966323853    -0.7276827665682057        
Redshift      All|All|All                            All                   All      2.2816858440969447        -0.2122237572166341      -0.3369788609394154      -0.8273862232124687        
