#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                    dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4302.84083101779      All      -2.929608305278227        0.8060598495697846        -2.9004070862626463      1.0873981706938207         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5152.6561495943215    All      3.9565750037342315        0.19562502734924436       3.026404057388987        -1.0900106255774256        
Check         All|All|All                            All                   All      1.0269666984560046        1.001684876919029         0.1259969711263409       -0.0026124548836048422     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4302.84083101779      All      -0.0017775792190540412    -0.0001037433767931381    -0.011999016054563752    9.76242436015274e-06       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5152.6561495943215    All      0.0006865089483054698     2.6580386807554682e-05    0.0007654316433431054    -0.00018080274474264161    
MWEBV         All|All|All                            All                   All      -0.033703990463892275     -2.283154490959838        0.19539869339695315      -0.7240002864822681        
Redshift      All|All|All                            All                   All      -4.284950606114039        0.5490712571317502        16.72661033303342        2.3210317520753643         
