#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6021.041624628391     All      0.28518521943979463        0.011174685321968525       0.02782449253337358        -0.08801256633249313       
Zeropoint     AB|SDSS|SDSS_z                             8554.534315708333     All      0.09765823744568135        -0.012564874915899082      0.03262739759518737        -0.03444728302639732       
Zeropoint     AB|SDSS|SDSS_g                             4540.716401484604     All      -0.2010192635790685        0.19089687051625503        -0.05580396839935308       0.12516970372137204        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4618.812262818406     All      -0.1971920992315649        0.26142840752125807        0.08499396105082035        0.15318067733445778        
Zeropoint     AB|SDSS|SDSS_r                             5933.35891975792      All      0.41317519925741203        0.013554939501325691       -0.10622273658951477       -0.13490969858920193       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7310.042731790706     All      0.1569715232115486         -0.014798935990434359      0.05808077286759519        -0.05335941150460014       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4228.108324290081     All      -0.21297571431124554       0.1499982535143829         -0.06098286715112575       0.11551117753287433        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3455.312166343537     All      -0.09555581412403609       0.04543299219790242        0.0029264210879697537      0.04605528534559947        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5225.1732268801825    All      0.10785894181655754        0.08777472270846687        0.0046050717468282985      -0.006336587712956095      
Zeropoint     AB|SDSS|SDSS_i                             7195.234735728689     All      0.19352332301725178        -0.018355159741823         0.07427371329342575        -0.065701297732207         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7335.572581083642     All      0.143456356367671          -0.012402295922164797      0.08755767906107784        -0.0468609935695336        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4225.113837205285     All      -0.11680648217710915       0.08844212486938119        0.011169663314667634       0.06735467456697063        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              5978.836186876994     All      0.3911643979786141         0.013624642100040774       -0.08778645442986277       -0.12689462545129138       
Zeropoint     AB|SDSS|SDSS_u                             3453.153748061058     All      -0.09917889365101737       0.04585875867668676        0.0032024323114327393      0.047386444805983856       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5165.57836093605      All      0.12865502338725693        0.14664283523728727        -0.07569972103729815       0.002481091227335661       
Check         All|All|All                                All                   All      0.9949199548477465         0.9967079655946343         0.0007658572552239756      0.000616590615913167       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6021.041624628391     All      -5.157177006169818e-05     -3.2821102355670825e-06    -5.60358179602614e-05      1.322890969562713e-05      
Lambda        AB|SDSS|SDSS_z                             8554.534315708333     All      -5.608052311100041e-06     -1.7595168153757382e-07    -1.2183463899797559e-05    1.2257218486287306e-06     
Lambda        AB|SDSS|SDSS_g                             4540.716401484604     All      -6.72237665875118e-05      -7.4623750073789104e-06    -0.0003816191725505618     2.436340371565449e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4618.812262818406     All      -4.557855051701625e-05     -3.4836103194019956e-05    -0.0003389697472114682     -1.1627494477190507e-05    
Lambda        AB|SDSS|SDSS_r                             5933.35891975792      All      -7.522745848140885e-05     1.0612149202305001e-06     -4.181331339019812e-05     2.298379461471733e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7310.042731790706     All      -4.7546707906469706e-05    -6.222229497065723e-06     -0.00017901655855161023    5.472055338056475e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4228.108324290081     All      -0.0001294244406164676     5.14082913570331e-05       -0.00024749367309559933    4.7858664091010944e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3455.312166343537     All      -0.0001818797131292087     7.325370025598773e-05      -1.3343866335838604e-06    8.304579883270211e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5225.1732268801825    All      1.9394738711010288e-05     1.6158452386478525e-05     -9.917801237463696e-05     -5.480024110702616e-06     
Lambda        AB|SDSS|SDSS_i                             7195.234735728689     All      -0.00011435345288995875    -7.44625156439914e-06      -0.000343167560943421      1.950920048088304e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7335.572581083642     All      -5.086444917081387e-05     2.8454717976457624e-06     -6.410559351788498e-05     1.4634350050980258e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4225.113837205285     All      -4.656791029820799e-05     2.905898586851256e-05      -2.4600624726779905e-05    2.35363552375087e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              5978.836186876994     All      -4.710594662304758e-05     -1.0385553400593835e-05    -0.00019665675465501905    3.1851523891583507e-06     
Lambda        AB|SDSS|SDSS_u                             3453.153748061058     All      -6.674588821024209e-05     2.3313736661964602e-05     -2.887861352515726e-05     2.8046662807576597e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014      5165.57836093605      All      -6.328778406733708e-06     1.3276360379718098e-05     -0.00043894712062458993    -1.3202155289614665e-05    
MWEBV         All|All|All                                All                   All      -0.9305240431448625        -3.844289617833674         0.038543143347057655       -0.9473893042509005        
Redshift      All|All|All                                All                   All      6.3908079322699045         0.49965707145549487        7.050682899997404          -1.6043020532621386        
