#Date  :
#Mag  :
#Magerr  :
#end  :
@INSTRUMENT  SWOPE
@BAND  SWOPE_i
@MAGSYS  Linear_AB11_off
53662.22  17.966  0.017
53663.19  17.949  0.011
53665.16  17.982  0.011
53666.22  17.97  0.011
53669.15  18.031  0.009
53671.24  18.06  0.013
53673.22  18.103  0.015
53675.2  18.205  0.014
53682.25  18.596  0.083
53684.2  18.75  0.017
53687.21  18.714  0.023
53690.23  18.656  0.021
53695.25  18.598  0.015
53699.15  18.557  0.019
53703.19  18.75  0.018
53713.05  19.328  0.024
53722.13  19.642  0.031
53726.13  19.935  0.034
53730.16  19.98  0.039
53737.09  20.29  0.045
53739.13  20.267  0.054
53740.11  20.36  0.05
