#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5934.036337130113    All      1.122625722087204          0.056224445132357914      -0.5646002452396962       -0.37255749529403404      
Zeropoint     AB|SDSS|SDSS_z            7055.074551573859    All      0.12174660526182146        0.004893457829702186      0.02981998789503814       -0.03673218537149806      
Zeropoint     AB|SDSS|SDSS_g            3744.80848959871     All      -1.1667261640191424        0.4171417978243497        -0.5362023413930652       0.4919896550725219        
Zeropoint     AB|SDSS|SDSS_r            4893.34521030228     All      0.9203655148175058         0.5204155147174205        1.0735441776519212        -0.08236952695823195      
Check         All|All|All               All                  All      0.9980116781473889         0.9986752155038303        0.0025615789141979484     0.00033044744875783405    
Lambda        AB|SDSS|SDSS_i            5934.036337130113    All      -0.00020829957482051303    -7.432657265065183e-07    0.00018364745373892802    7.58032606697849e-05      
Lambda        AB|SDSS|SDSS_z            7055.074551573859    All      -5.3581899054972343e-05    -4.102615520005196e-06    -4.058711771531558e-05    1.4305813813670654e-05    
Lambda        AB|SDSS|SDSS_g            3744.80848959871     All      -0.002074105222431619      0.0005961451763053537     -0.001738364595351982     0.0007922131756266291     
Lambda        AB|SDSS|SDSS_r            4893.34521030228     All      -0.00010549934249393957    -7.96754205081215e-05     -0.0010950997538649286    -4.045757143116519e-05    
MWEBV         All|All|All               All                  All      -0.5355235526032289        -2.991935789432354        0.06516737305701918       -0.7972261585408188       
Redshift      All|All|All               All                  All      5.3343903133475035         -0.16441424017266115      3.8089361864112234        -1.6211662201895203       
