#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            5934.036337130113    All      1.1880550956284148        0.04317422249631164       -0.5440426757605588        -0.39720349176263836      
Zeropoint     AB|SDSS|SDSS_z            7055.074551573859    All      0.16188662218869693       -0.004103961450852012     -0.08007389215891614       -0.057641924060364974     
Zeropoint     AB|SDSS|SDSS_g            3744.80848959871     All      -1.245111755640976        0.4609480739279803        -0.42294812531926684       0.5368455818893215        
Zeropoint     AB|SDSS|SDSS_r            4893.34521030228     All      0.8928108742597844        0.49905019312497245       1.049618925279261          -0.08142113627737889      
Check         All|All|All               All                  All      0.9976408364359198        0.9990685280984124        0.0025542320405191887      0.0005790297889393253     
Lambda        AB|SDSS|SDSS_i            5934.036337130113    All      -0.000255788843083733     -2.015924662678286e-05    -1.812649255497603e-05     7.594340943873564e-05     
Lambda        AB|SDSS|SDSS_z            7055.074551573859    All      -5.544646566557513e-05    -8.414830717316987e-06    -0.00011250943134543862    1.0298971613658973e-05    
Lambda        AB|SDSS|SDSS_g            3744.80848959871     All      -0.0022011135112318453    0.0005521142374563787     -0.002191856911965248      0.000799004349103904      
Lambda        AB|SDSS|SDSS_r            4893.34521030228     All      -5.541617431742546e-05    -9.465185898427452e-05    -0.0011242277527698723     -6.294947452648912e-05    
MWEBV         All|All|All               All                  All      -0.5317221797953473       -2.9934757395785994       0.07967055828037584        -0.7983187926054857       
Redshift      All|All|All               All                  All      5.327045906821502         0.0008565804046511971     4.155869468662532          -1.5494577228697344       
