#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3382.652968295845    All      -0.8970609292723206        0.17086928406193636        -0.15963456157686487      0.3407362470352529        
Zeropoint     AB|SDSS|SDSS_r            4420.116207944991    All      0.5589506558791766         0.5137113914750913         0.1414858565041106        -0.008422052789258026     
Zeropoint     AB|SDSS|SDSS_z            6372.7875376578      All      0.15141354158228398        0.025311686860263194       0.0750073904577822        -0.037728287371109004     
Zeropoint     AB|SDSS|SDSS_i            5360.163459766018    All      1.1824264092111805         0.28879175651450595        -0.055671416245668855     -0.29357056570759976      
Check         All|All|All               All                  All      0.9957296774003205         0.9986841189117968         0.0011872691393590776     0.0010153411672861323     
Lambda        AB|SDSS|SDSS_g            3382.652968295845    All      -0.0013686730287029002     0.00021568809023054565     -0.0010830587567364754    0.0004677466023649996     
Lambda        AB|SDSS|SDSS_r            4420.116207944991    All      -0.0004260726263921263     -0.00015925889998224743    -0.0027592889586296743    -3.622438466527249e-05    
Lambda        AB|SDSS|SDSS_z            6372.7875376578      All      -3.3923354339787486e-05    -6.6213695807991544e-06    -3.164630450958711e-05    7.480925420578142e-06     
Lambda        AB|SDSS|SDSS_i            5360.163459766018    All      0.0002667237207247037      7.009014095443264e-05      -4.111196515337687e-05    -6.588466416817057e-05    
MWEBV         All|All|All               All                  All      -0.6883719093354514        -2.558478190615965         0.011227760447071246      -0.6086540971007377       
Redshift      All|All|All               All                  All      2.2848085372156097         0.7236004530442486         -1.8243034141676053       -0.5899471178867502       
