#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3382.652968295845    All      -0.8870771488754206       0.176954555453257         0.33907710338473285       0.36172158550240585        
Zeropoint     AB|SDSS|SDSS_r            4420.116207944991    All      0.6729684169629206        0.48032806630100566       -0.6774168740280362       -0.09297930371457847       
Zeropoint     AB|SDSS|SDSS_z            6372.7875376578      All      0.06914790223158342       0.01267892379317459       -0.0749357233056358       -0.021737841215400955      
Zeropoint     AB|SDSS|SDSS_i            5360.163459766018    All      1.1414094364486767        0.3282191258110245        0.414227309199644         -0.24639777500889276       
Check         All|All|All               All                  All      0.99644860676776          0.9981806713584618        0.0009518152507048683     0.0006066655635336704      
Lambda        AB|SDSS|SDSS_g            3382.652968295845    All      -0.0005753799020813586    0.00038702600749133275    0.003323786390075761      0.0004618125879521403      
Lambda        AB|SDSS|SDSS_r            4420.116207944991    All      -0.0006519054118613176    -0.0002738100928761182    -0.0038938117108407062    -5.0604848664487784e-05    
Lambda        AB|SDSS|SDSS_z            6372.7875376578      All      2.0031630000695694e-05    1.191029697899154e-05     0.0003490294916206575     1.293019782746773e-05      
Lambda        AB|SDSS|SDSS_i            5360.163459766018    All      0.0002080924603987392     7.836013892654623e-05     0.000675032137730999      -1.2134501173630658e-05    
MWEBV         All|All|All               All                  All      -0.8084043508472452       -2.574890091345061        -0.3678768693699874       -0.5918191764174282        
Redshift      All|All|All               All                  All      1.720334543111364         0.6178114321379269        -10.894928654182678       -0.8453186764157863        
