#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_g                      4662.340779149253    All      -0.5073101526088859       0.5345334524296419         0.19672206989639193       0.3481415402652552        
Zeropoint     AB|CNIa02|SDSS_r                      6092.285622566448    All      1.1944293479397448        -0.10602430954893549       -0.06380635463246256      -0.42644792445385266      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.94818555578     All      -0.7442585480526358       0.4418720787509933         -0.10824674660781428      0.3815312125466966        
Zeropoint     AB|CNIa02|SDSS_i                      7387.9611404427      All      0.4853050956442217        -0.07866491738113268       0.2930518932061535        -0.1706260272495477       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.231404130835    All      0.5713817266931518        0.20521301614158105        -0.3160179456144325       -0.1333756251142502       
Check         All|All|All                           All                  All      0.9995474696155969        0.9969293203921481         0.0017029162478360282     -0.0007768240056987841    
Lambda        AB|CNIa02|SDSS_g                      4662.340779149253    All      -5.386003444200867e-05    8.291338352389594e-06      -7.410549925622582e-05    1.693775876100825e-05     
Lambda        AB|CNIa02|SDSS_r                      6092.285622566448    All      -0.000107880024008013     -2.9650634631798477e-05    -0.0006473163207427603    -3.404868588124966e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.94818555578     All      -0.0003871091356393992    0.0001239688079227496      -0.0007040452624603034    0.00013505659368243884    
Lambda        AB|CNIa02|SDSS_i                      7387.9611404427      All      -8.463718349783436e-05    -1.7456569262704392e-05    -0.0005318978089174902    -1.853220060770749e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.231404130835    All      4.871153427827649e-05     4.116604899049083e-06      -0.0009556910697536236    -5.717413874119669e-05    
MWEBV         All|All|All                           All                  All      -0.8750749464635659       -4.041938301242887         0.03417212195111807       -1.0300266365055433       
Redshift      All|All|All                           All                  All      4.675226600250725         0.02949984791325022        4.857630982153315         -1.2964922826653          
