#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4662.340779149253    All      -0.20036412790072616       0.19983041360056575        -0.0799797517774814       0.12678739918820098        
Zeropoint     AB|CNIa02|SDSS_r                      6092.285622566448    All      1.1303234807994298         -0.11630181039965493       -0.8472171221656777       -0.44387427913217675       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4318.94818555578     All      -0.7931841982164912        0.6650173464361586         0.7174388514380348        0.507000217361453          
Zeropoint     AB|CNIa02|SDSS_i                      7387.9611404427      All      0.691807155202086          -0.12601373956329098       1.1358566567421735        -0.21570310514387597       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5403.231404130835    All      0.1443407682609084         0.4385892982739392         -0.7282173508828205       0.0633494309257604         
Check         All|All|All                           All                  All      0.972923078145207          1.0611215083477177         0.19788128335422872       0.037559663199361604       
Lambda        AB|CNIa02|SDSS_g                      4662.340779149253    All      -7.6179794166587625e-06    -1.4843996776880255e-05    -0.000148742655588215     -8.991453151728648e-06     
Lambda        AB|CNIa02|SDSS_r                      6092.285622566448    All      -0.0001088565310311899     -5.7156568472975934e-05    -0.0006840794363349404    -1.3686944696961845e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4318.94818555578     All      -0.00039840386619944445    0.00016696348777897664     -0.0004985773204581555    0.00016190953129500122     
Lambda        AB|CNIa02|SDSS_i                      7387.9611404427      All      -0.0001051428339494275     -2.3006870838986357e-05    -0.000668000169338348     -3.0553941657695603e-06    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5403.231404130835    All      -0.000127529647644606      5.8557798815635e-05        -0.0011165418145231885    1.0788670316144685e-05     
MWEBV         All|All|All                           All                  All      -0.848281542239754         -4.042573575686781         0.1910093152202308        -1.0319621359159137        
Redshift      All|All|All                           All                  All      5.730714671073955          -0.32163605261255057       6.386674508282986         -1.6864417967595233        
