#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.826605157874     All      0.14898994816538702        0.27916449907401386        -0.19716846660980059       0.03360341074367563       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7423.058202697028     All      0.25631241642396035        -0.05302126628894399       0.0030021633985220526      -0.10062618447143545      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6071.270802093824     All      0.6576913091300118         -0.03978884104292035       -0.14245400166411906       -0.233549299153393        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4293.47615739925      All      -0.5919185300346776        0.39961394955838614        -0.19364395232547046       0.31433330883533367       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i            7358.568908709049     All      0.30225002483332375        -0.051386941300179956      0.11548821719270566        -0.11003748546518015      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g            4600.173860762364     All      -0.4896090134884309        0.4754456212118896         0.24061627313255446        0.3250876430356614        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r            6064.0393114464205    All      0.7185611371611705         -0.014495053823981863      0.1772005971379263         -0.23087286943884577      
Check         All|All|All                              All                   All      1.002277292190745          0.9955319673882634         0.0030408302623182726      -0.002061475914183708     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5244.826605157874     All      2.9250382255179556e-06     3.223694996668452e-05      -0.0009723076119194649     -3.384176908527692e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7423.058202697028     All      -7.290344479846164e-05     -1.5440816286308978e-05    -0.0003186416617442202     4.497954675307652e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6071.270802093824     All      -0.0001246409253392409     -1.7678103851266487e-05    -0.00039174387432666863    1.7359580034273888e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4293.47615739925      All      -0.00025184420933368736    0.00010679640737816904     -0.00043959869155612446    9.720377718849098e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i            7358.568908709049     All      -8.742189066847584e-05     -1.3773655911408897e-06    -0.00020955259458519553    1.8676162742398424e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g            4600.173860762364     All      5.269760446899803e-06      -1.3852808044246224e-05    -4.811841088168451e-05     -8.376153349165083e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r            6064.0393114464205    All      -0.00012397832614285042    -2.677224461754714e-06     -0.00018018084776673035    3.147111581011519e-05     
MWEBV         All|All|All                              All                   All      -0.8354235646095534        -3.99153159104646          0.0006169011609673648      -1.0280206876149363       
Redshift      All|All|All                              All                   All      5.9972097319836655         -0.38680866022806626       3.6313465730817756         -1.917434498924928        
