#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            4678.348376109792     All      1.6539728883741072        0.5571652953019424         6.291911057584127          -0.07648722416388909      
Zeropoint     AB|SDSS|SDSS_z            6745.098731681384     All      0.20120309383504462       0.03960953849393434        0.8144448895951478         -0.016291402432109126     
Zeropoint     AB|SDSS|SDSS_g            3580.2744264335365    All      -1.3971527791171154       0.2783873673299908         -1.1983701942848506        0.4923007914755967        
Zeropoint     AB|SDSS|SDSS_i            5673.315098052163     All      0.5502150074693981        0.1253452050125503         -5.802045534561124         -0.3973127168376944       
Check         All|All|All               All                   All      1.0082382105614347        1.0005074061384178         0.10594021833330025        0.0022094480419040385     
Lambda        AB|SDSS|SDSS_r            4678.348376109792     All      -0.0004002037630223898    -0.00013456576465684076    -0.0031104486454382246     -5.227800197377452e-05    
Lambda        AB|SDSS|SDSS_z            6745.098731681384     All      -6.888135484686873e-05    -1.3205946832880125e-05    -0.00033622431129763436    3.131165265867327e-06     
Lambda        AB|SDSS|SDSS_g            3580.2744264335365    All      -0.0018172304767574685    0.000443549589910254       -0.0020382648801151974     0.0006454520449810881     
Lambda        AB|SDSS|SDSS_i            5673.315098052163     All      8.004380238859932e-05     2.2097530652369694e-05     0.0023783381591627665      8.725930165116268e-05     
MWEBV         All|All|All               All                   All      -0.6966812502511743       -2.7932442465150586        -0.4833682347897286        -0.7044900470456278       
Redshift      All|All|All               All                   All      7.434896430936232         0.14163173635157733        4.5394595573282706         -2.173081021247779        
