#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4067.143806644848    All      -0.5983432777929647        0.2918856929458258         -0.02503309319445313       0.2888597514564008        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5772.606738253062    All      1.3255033398766327         0.04077986347343909        -0.6076542164016372        -0.4455935192345987       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4379.09341643737     All      -0.714269121152832         0.5200329789948555         -0.023623259440062057      0.4009986037799345        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7004.922343780333    All      0.5520790165730225         -0.018253411145252585      0.5359628652850285         -0.16185847399811928      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5096.881685569038    All      0.4343383007954448         0.16349058666396132        0.12630662831780795        -0.08258752640128462      
Check         All|All|All                      All                  All      0.9993082582993035         0.9979357109328291         0.005958924566684037       -0.0001811643976673133    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4067.143806644848    All      -0.00043875991960804135    0.00015231905703889942     -0.00037040159236601894    0.00017600454674032449    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5772.606738253062    All      -0.00027676570428076413    -1.1230136348149401e-05    -0.0002538422204702821     7.516585789191728e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4379.09341643737     All      -0.00036589407845793044    3.3081356678443365e-06     -0.001487210204049295      5.389394663551184e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7004.922343780333    All      -0.00042018834954123997    1.52722282053007e-05       -0.0004747367539550619     0.0001206585154575561     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5096.881685569038    All      0.0001435543250997635      1.4763953210543908e-05     -0.0005524795406433229     -6.66058856538615e-05     
MWEBV         All|All|All                      All                  All      -0.7598772136932053        -3.7394520450362734        0.04185410670257409        -0.9686777911155752       
Redshift      All|All|All                      All                  All      5.2480500927376745         1.0421169164601451         8.383894327905612          -0.995876108584515        
