#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4067.143806644848    All      -0.5537074687509074        0.34027887223118114        0.4144373141100388         0.3096951964218775         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5772.606738253062    All      1.1512853808938228         0.03916853278029819        -0.729185887859396         -0.39479326213363586       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4379.09341643737     All      -0.5342417649140155        0.400776279139059          0.11481082669146936        0.3096896180162234         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7004.922343780333    All      0.4136680795706073         -0.009306243112305879      0.31674640699295153        -0.12364171495924392       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5096.881685569038    All      0.559997727922263          0.22238086134009905        -0.07275272927058651       -0.1132195408769493        
Check         All|All|All                      All                  All      1.0370019547217704         0.9932983023783315         0.044055930664477216       -0.012269703531728182      
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4067.143806644848    All      -0.00033570834562071666    7.302210788881826e-05      -0.0005232713576686697     0.00010978575814623035     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5772.606738253062    All      -0.000324795660950946      -5.9987474115517733e-05    -0.00033163014314900683    7.145760821629131e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4379.09341643737     All      -6.097467056382893e-05     -0.00010131589999269227    -0.0009647139977763396     -5.6191220561635793e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7004.922343780333    All      -0.0003936386252859617     5.281202124253215e-06      -0.00040354398650445       0.00011193299715280302     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5096.881685569038    All      -0.0001683767722844841     2.4391853686051382e-05     -0.0006335019604174147     3.452080045385983e-05      
MWEBV         All|All|All                      All                  All      -0.7635615547400945        -3.73381940637465          0.0472323302117994         -0.9654029388910551        
Redshift      All|All|All                      All                  All      5.624366790694189          1.6934126030070829         4.938601330844916          -1.060054008261027         
