#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4672.707510001178     All      3.8738991204008766        0.6908725544382932        0.409045712725973         -1.0185626395176304      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3902.0489785679792    All      -2.8826775582273383       0.3109565381533841        -0.4047213551005732       1.0222108373719687       
Check         All|All|All                            All                   All      0.9912215621735383        1.0018290925916773        0.004324357625399788      0.003648197854338342     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4672.707510001178     All      -0.000397163659125653     -8.156938325326844e-05    -0.0004726369113907815    8.170782378236075e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3902.0489785679792    All      -0.0018684149066005764    0.00013470070706319838    -0.0016420316927014873    0.0005792043230500557    
MWEBV         All|All|All                            All                   All      -0.13159629928211425      -1.9359217991354427       0.03769007610680412       -0.5860462408556014      
Redshift      All|All|All                            All                   All      4.998308217795944         -0.017439150936127135     -2.149155442804552        -1.729700867881529       
