#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          5129.616467317257    All      0.17245485548673334        0.627313111724348         0.22718245448325458       0.15830040798104905       
Zeropoint     AB|DECam|DECam_z          7302.803810369783    All      0.5210719324516007         -0.04716547865548648      0.2926160041147652        -0.1720355109261773       
Zeropoint     AB|DECam|DECam_g          3859.540816637673    All      -0.7325602796094669        0.4585993104186059        -0.14398393378649565      0.3815745247880531        
Zeropoint     AB|DECam|DECam_i          6231.843306388053    All      1.0333397802637556         -0.0389398728042778       -0.37260871000455165      -0.3659045753546114       
Check         All|All|All               All                  All      0.9943062885926227         0.9998070706831896        0.0032058148069724623     0.0019348464883134353     
Lambda        AB|DECam|DECam_r          5129.616467317257    All      -0.00015489581885638027    -6.670849609626064e-05    -0.0013013359754208435    -2.934713546336676e-05    
Lambda        AB|DECam|DECam_z          7302.803810369783    All      -0.00015737683115744637    -4.237544975494686e-05    -0.0006882894559645535    6.744536135295005e-06     
Lambda        AB|DECam|DECam_g          3859.540816637673    All      -0.000890665841617017      0.0003536254714186402     -0.0011070659581936067    0.0003559033474798479     
Lambda        AB|DECam|DECam_i          6231.843306388053    All      -0.00046091590310986066    -6.716955812196787e-05    -0.0009753784651115013    8.472947728586877e-05     
MWEBV         All|All|All               All                  All      -0.47462549766353845       -3.0330431916400613       0.07685416934608558       -0.8299311637707196       
Redshift      All|All|All               All                  All      5.034095074518925          0.7902469724868411        -0.46382769481838615      -1.403059445023519        
