#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          5129.616467317257    All      0.07665732241855883        0.6393545690205116        0.1397267144708867        0.18952436693305025        
Zeropoint     AB|DECam|DECam_z          7302.803810369783    All      0.5045103959585511         -0.06026333343349677      0.19700482892607038       -0.17517396346227238       
Zeropoint     AB|DECam|DECam_g          3859.540816637673    All      -0.6796692077098379        0.444429396096524         -0.14135774281091074      0.3598477501763085         
Zeropoint     AB|DECam|DECam_i          6231.843306388053    All      1.092249784559669          -0.02373156966761769      -0.19494436623320946      -0.3722113134857448        
Check         All|All|All               All                  All      0.9937482952269412         0.9997890620159211        0.0004294343528369049     0.001986840161341541       
Lambda        AB|DECam|DECam_r          5129.616467317257    All      -0.00013684070186434935    -3.435582074308787e-07    -0.0011266441436054366    -5.8153433280216126e-06    
Lambda        AB|DECam|DECam_z          7302.803810369783    All      -0.00010031435408371389    -3.530805629638749e-05    -0.0005187622291538274    -1.975285865390214e-06     
Lambda        AB|DECam|DECam_g          3859.540816637673    All      -0.0008666601849724694     0.00045698661820903105    -0.0006963889022735293    0.0004000786721726472      
Lambda        AB|DECam|DECam_i          6231.843306388053    All      -0.0002794978303933175     -4.697949925560494e-05    -0.0006664350605644445    4.5998934149962105e-05     
MWEBV         All|All|All               All                  All      -0.47504524495320855       -3.0382226747464713       0.04553770662809328       -0.8328790762166821        
Redshift      All|All|All               All                  All      4.379956943150601          0.2592051566480791        -2.2918531610649677       -1.4445393060483462        
