#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6044.714455832521    All      1.4651309650184865         -0.28738997342951933       -0.49041993978786125      -0.5927389153742485        
Zeropoint     AB|SDSS|SDSS_g            3814.654431716759    All      -0.8495668705022699        0.337791491081596          -0.17337448576125847      0.37902477427836273        
Zeropoint     AB|SDSS|SDSS_r            4984.612976670496    All      0.1605961641669098         0.9252943608583308         0.36318472338369484       0.2652946266433183         
Zeropoint     AB|SDSS|SDSS_z            7186.66160873217     All      0.212109640623467          0.011160403256127438       0.2734739694112379        -0.05325189040977197       
Check         All|All|All               All                  All      0.9882698993065934         0.986856281766535          -0.02713573275418696      -0.0016714048623394165     
Lambda        AB|SDSS|SDSS_i            6044.714455832521    All      9.913142946795477e-05      0.00019297600765555943     -0.000499019501515476     8.299318071656173e-06      
Lambda        AB|SDSS|SDSS_g            3814.654431716759    All      -0.0015123649141354435     0.0006425209508418188      -0.0003938963216064788    0.0006843394361293729      
Lambda        AB|SDSS|SDSS_r            4984.612976670496    All      -0.0003944253059765835     0.0002156342383647753      -0.002038423301848148     0.00010775099413295193     
Lambda        AB|SDSS|SDSS_z            7186.66160873217     All      -1.6593895365610916e-05    -1.2537693051413737e-05    -6.149145052201412e-05    -1.4228424779539916e-06    
MWEBV         All|All|All               All                  All      -0.5242583217478303        -3.0923396330646113        0.03239994285751835       -0.8350627098193164        
Redshift      All|All|All               All                  All      8.163862354228158          -1.367548609459135         12.543143675278511        -2.5449512313270803        
