#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6044.714455832521    All      1.1745864351377486         -0.04512065848416569       -1.6882608943991073        -0.47263805737934594      
Zeropoint     AB|SDSS|SDSS_g            3814.654431716759    All      -1.0280343599798765        0.6284869989407582         -0.6228845540759309        0.5117870276912808        
Zeropoint     AB|SDSS|SDSS_r            4984.612976670496    All      0.6620300597823537         0.4023714049075977         2.104961351056378          0.009355390951129583      
Zeropoint     AB|SDSS|SDSS_z            7186.66160873217     All      0.18648509574739167        0.03764280451505897        0.20511618123926212        -0.0393294379161413       
Check         All|All|All               All                  All      0.9950672306876176         1.0233805498792492         -0.001067916179398054      0.009174923346923158      
Lambda        AB|SDSS|SDSS_i            6044.714455832521    All      -0.00017410839306600506    0.00019141692698142657     -0.0010527398108364668     7.208467946672172e-05     
Lambda        AB|SDSS|SDSS_g            3814.654431716759    All      -0.0014253000055360783     0.0011942484304476404      -2.6528589029828433e-05    0.000852089257096623      
Lambda        AB|SDSS|SDSS_r            4984.612976670496    All      -0.0007148619098167686     -0.0007758166875328443     -0.004039531655726855      -0.0002001207213520048    
Lambda        AB|SDSS|SDSS_z            7186.66160873217     All      -4.539770633617868e-05     -1.7823984400166096e-05    -0.00013330123855333453    3.033046336874837e-06     
MWEBV         All|All|All               All                  All      -0.5515071794390156        -3.1122638845477724        -0.07534404916356152       -0.8374849641186205       
Redshift      All|All|All               All                  All      9.956022485159949          2.9708432286447817         23.085011829389558         -1.245124637097328        
