#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6369.820830829773    All      1.268568719489301          -0.1004789341806589        0.1941548005530147        -0.4372796241023442        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5421.266908607763    All      0.5908480168840045         0.31376012204020753        -0.05142457139024614      -0.09255148570822824       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4395.829186541109    All      -1.1820098775647683        0.8488257879968764         -0.21106787859384024      0.6520909987603546         
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8295.900205755906    All      0.32160672715935723        -0.06411241864041628       0.06853340816519449       -0.12258308432610485       
Check         All|All|All                                    All                  All      0.9990135859678944         0.9979945572160087         0.00019575873412280842    -0.00032319537632272133    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6369.820830829773    All      -0.0003988627346295816     8.013245217381461e-06      -0.0004208833665768912    0.00011375080085535145     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5421.266908607763    All      0.00012238772688239597     -1.697794149181477e-05     -0.0006556242454265515    -7.465348208392453e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4395.829186541109    All      -0.0004636254711544017     6.754065630429663e-05      -0.0013293227071173228    0.00011369671549955216     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8295.900205755906    All      -1.5154437249596038e-05    -1.5690268665331147e-06    -2.469822159273622e-05    3.3230469136345476e-06     
MWEBV         All|All|All                                    All                  All      -0.8622086132428843        -4.111569797331738         0.05069979043500483       -1.0561613396740253        
Redshift      All|All|All                                    All                  All      4.079063361497467          -0.06881906316533737       -2.5287028326100414       -1.4639461604984954        
