#Format:      
#Parameter    MagSys|Instrument|Band                         RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6369.820830829773    All      1.2031099740178546        -0.12896348442152927       0.09043506693026916        -0.4298644476449306        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5421.266908607763    All      0.6682745790543118        0.35260985906113707        -0.002492619997238184      -0.1029336185448848        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4395.829186541109    All      -1.1908693213579777       0.8449475800025752         -0.1378792167362479        0.656979624973188          
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8295.900205755906    All      0.31857364912551417       -0.07049376555374742       0.05094207025171508        -0.12445874627191422       
Check         All|All|All                                    All                  All      0.9990888808397027        0.9981001890884356         0.0010053004484981629      -0.00027718748854166364    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thick    6369.820830829773    All      -0.0003655112423674651    1.0412415019166719e-05     -0.0003748463389977344     0.00010572303222929712     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thick    5421.266908607763    All      0.00010583765104260598    -2.4535895746219045e-05    -0.0007993225776243587     -7.81370488349714e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thick    4395.829186541109    All      -0.0004540946676368558    9.229614835720932e-05      -0.0011529640014680484     0.0001265259764797858      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thick    8295.900205755906    All      -2.279534774259039e-05    1.7586083163020207e-06     -1.3358239645009322e-05    7.401914406360304e-06      
MWEBV         All|All|All                                    All                  All      -0.8773236838659431       -4.113725900018084         0.017186020300054103       -1.0534357431176005        
Redshift      All|All|All                                    All                  All      4.269926582187313         -0.12691089810170642       -2.0225150618596457        -1.522450177121756         
